variant,seed,mutation_strength,generations,generated_depth,generated_quantization,selected_depth,selected_quantization,retained_parent
baseline,0,1,20,83,77,4,3,13
baseline,1,1,20,91,69,7,5,8
baseline,2,1,20,88,72,4,8,8
adaptive,0,1,20,87,73,4,7,9
adaptive,1,1,20,80,80,9,5,6
adaptive,2,1,14,62,50,2,5,7
adaptive,2,2,3,12,12,0,0,3
adaptive,2,3,3,16,8,0,0,3
fixed,0,1,20,87,73,4,7,9
fixed,1,1,20,80,80,9,5,6
fixed,2,1,20,87,73,2,8,10
coarse,0,1,7,28,28,2,4,1
coarse,0,2,7,27,29,0,1,6
coarse,0,3,6,30,18,3,1,2
coarse,1,1,7,29,27,1,1,5
coarse,1,2,7,28,28,2,3,2
coarse,1,3,6,28,20,2,1,3
coarse,2,1,7,27,29,2,3,2
coarse,2,2,7,33,23,1,1,5
coarse,2,3,6,28,20,2,1,3
