depth_label,quant_label,depth_source,quant_source,wiki2_ppl,c4_ppl,fineweb_ppl,compression_ratio,active_params,avg_active_bitwidth,budget_valid_before_repair,budget_repaired,repair_num_changes,status,error_message
independent,independent,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_attention_quant_mistral_attention3.0_g20_o16_seed2/final_candidate.json,12.3515625,15.1015625,13.6171875,1.5469698122081734,5503193088,3.0,False,True,3,completed,
independent,standard_joint,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,12.3984375,15.015625,13.6171875,1.5469698122081734,5503193088,3.0,False,True,3,completed,
independent,interaction_aware,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,13.1953125,15.828125,14.3828125,1.5469698122081734,5503193088,3.0,False,True,3,completed,
independent,uniform3,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,uniform:3,12.1796875,15.015625,13.4296875,1.5469698122081734,5503193088,3.0,True,False,0,completed,
standard_joint,independent,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_quant_mistral_attention3.0_g20_o16_seed2/final_candidate.json,12.9140625,15.3125,13.5078125,1.5469698122081734,5503193088,3.0,False,True,2,completed,
standard_joint,standard_joint,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,13.015625,15.3125,13.5390625,1.5469698122081734,5503193088,3.0,True,False,0,completed,
standard_joint,interaction_aware,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,13.671875,15.828125,14.3828125,1.5469698122081734,5503193088,3.0,True,False,0,completed,
standard_joint,uniform3,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,uniform:3,12.7890625,15.1640625,13.4609375,1.5469698122081734,5503193088,3.0,True,False,0,completed,
interaction_aware,independent,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_quant_mistral_attention3.0_g20_o16_seed2/final_candidate.json,11.4453125,14.3828125,12.4453125,1.5469698122081734,5503193088,3.0,False,True,1,completed,
interaction_aware,standard_joint,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_g50_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,11.4453125,14.4375,12.546875,1.5469698122081734,5503193088,3.0,False,True,3,completed,
interaction_aware,interaction_aware,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,12.1796875,15.015625,13.2265625,1.5469698122081734,5503193088,3.0,True,False,0,completed,
interaction_aware,uniform3,results/runs/thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed2/final_candidate.json,uniform:3,11.375,14.4140625,12.3984375,1.5469698122081734,5503193088,3.0,True,False,0,completed,
