depth_label,quant_label,depth_source,quant_source,wiki2_ppl,c4_ppl,fineweb_ppl,compression_ratio,active_params,avg_active_bitwidth,budget_valid_before_repair,budget_repaired,repair_num_changes,status,error_message
independent,independent,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_medium_quant_mistral_qproj3.0_g20_o16_seed2/final_candidate.json,11.3515625,14.1328125,12.421875,1.400303557622533,5503193088,3.0,False,True,1,completed,
independent,standard_joint,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.3515625,14.1875,12.421875,1.400303557622533,5503193088,3.0,False,True,1,completed,
independent,interaction_aware,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.46875,14.296875,12.6953125,1.400303557622533,5503193088,3.0,False,True,2,completed,
independent,uniform3,results/runs/thesis_medium_depth_mistral_s0.25_g20_o16_seed2/final_candidate.json,uniform:3,11.3515625,14.1015625,12.4453125,1.400303557622533,5503193088,3.0,True,False,0,completed,
standard_joint,independent,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_medium_quant_mistral_qproj3.0_g20_o16_seed2/final_candidate.json,11.2890625,14.5546875,12.6953125,1.400303557622533,5503193088,3.0,True,False,0,completed,
standard_joint,standard_joint,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.3359375,14.5546875,12.6953125,1.400303557622533,5503193088,3.0,True,False,0,completed,
standard_joint,interaction_aware,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.671875,14.8671875,13.0703125,1.400303557622533,5503193088,3.0,True,False,0,completed,
standard_joint,uniform3,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,uniform:3,11.265625,14.578125,12.6953125,1.400303557622533,5503193088,3.0,True,False,0,completed,
interaction_aware,independent,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_medium_quant_mistral_qproj3.0_g20_o16_seed2/final_candidate.json,11.046875,13.9921875,12.109375,1.400303557622533,5503193088,3.0,False,True,1,completed,
interaction_aware,standard_joint,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.0703125,13.96875,12.1796875,1.400303557622533,5503193088,3.0,False,True,1,completed,
interaction_aware,interaction_aware,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,11.2421875,14.2734375,12.3046875,1.400303557622533,5503193088,3.0,True,False,0,completed,
interaction_aware,uniform3,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/final_candidate.json,uniform:3,11.046875,14.0234375,12.1328125,1.400303557622533,5503193088,3.0,True,False,0,completed,
