sparsity,method,seed,wikitext2_ppl,train_ppl,runtime_minutes,notes,output_dir
0.125,random,1,,,0.08,status=failed; last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1
0.125,random,1,,,0.73,status=failed; last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1_retry1
0.125,random,1,21.50,1.96e+01,5.43,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1_retry2
0.125,random,2,11.29,1.10e+01,5.90,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed2
0.125,random,3,,,0.75,status=failed; last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed3
0.125,random,3,38048.00,1.68e+04,5.48,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=4; dropped_mlp_modules=4; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed3_retry1
0.25,random,1,31.36,2.71e+01,5.03,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed1
0.25,random,2,2490.00,2.55e+03,5.03,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed2
0.25,random,3,13784.00,8.56e+03,5.18,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.25_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=8; dropped_mlp_modules=8; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.25_seed3
0.375,random,1,10736.00,3.89e+03,4.62,status=completed; last_successful_step=final_evaluation; reference_config=results/runs/depth_mistral7b_s0.375_seed1/layer_drop_config.txt; calibration_seed=1; dropped_attn_modules=12; dropped_mlp_modules=12; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.375_seed1
