condition,condition_label,initialization,mutation,seed,run_id,generation,best_search_fitness,wikitext2_ppl,stage2_candidate_evaluations_cumulative,stage2_evaluated_tokens_cumulative,total_candidate_evaluations_cumulative,total_evaluated_tokens_cumulative,stage2_runtime_minutes_cumulative,total_runtime_minutes_cumulative
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,1,1.216796875,23.125,59,65536,59,65536,1.8560436172410846,1.8560436172410846
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,2,1.11328125,,86,114688,86,114688,2.074078465625644,2.074078465625644
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,3,1.0810546875,,113,163840,113,163840,2.289367894362658,2.289367894362658
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,4,1.080078125,,140,212992,140,212992,2.484496491557608,2.484496491557608
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,5,1.0302734375,,167,262144,167,262144,2.6979669543604055,2.6979669543604055
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,6,1.029296875,16.234375,194,311296,194,311296,3.946173514487843,3.946173514487843
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,7,1.0263671875,,221,360448,221,360448,4.161863287010541,4.161863287010541
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,8,0.9150390625,,248,409600,248,409600,4.37160895941779,4.37160895941779
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,9,0.9150390625,,275,458752,275,458752,4.585648708386968,4.585648708386968
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,10,0.9150390625,,302,507904,302,507904,4.791842191883673,4.791842191883673
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,11,0.91357421875,14.296875,329,557056,329,557056,6.027915884368122,6.027915884368122
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,12,0.9130859375,,356,606208,356,606208,6.233528109360487,6.233528109360487
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,13,0.8564453125,,383,655360,383,655360,6.430032083702584,6.430032083702584
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,14,0.8388671875,,410,704512,410,704512,6.642971147038042,6.642971147038042
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,15,0.83740234375,,437,753664,437,753664,6.850557362909118,6.850557362909118
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,16,0.8330078125,13.3046875,464,802816,464,802816,8.074524499227604,8.074524499227604
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,17,0.8095703125,,491,851968,491,851968,8.280161528972288,8.280161528972288
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,18,0.80810546875,,518,901120,518,901120,8.486762320746978,8.486762320746978
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,19,0.8076171875,,545,950272,545,950272,8.679069872573018,8.679069872573018
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,20,0.794921875,,572,999424,572,999424,8.883720094834764,8.883720094834764
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,21,0.7939453125,13.3828125,599,1048576,599,1048576,10.122071518034984,10.122071518034984
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,22,0.7939453125,,626,1097728,626,1097728,10.327039853017776,10.327039853017776
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,23,0.7939453125,,653,1146880,653,1146880,10.540111014681559,10.540111014681559
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,24,0.79443359375,,680,1196032,680,1196032,10.756160909309983,10.756160909309983
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,25,0.794921875,,707,1245184,707,1245184,10.960393400210886,10.960393400210886
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,26,0.79541015625,13.328125,734,1294336,734,1294336,12.190866827809563,12.190866827809563
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,27,0.79541015625,,761,1343488,761,1343488,12.386026299092919,12.386026299092919
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,28,0.79541015625,,788,1392640,788,1392640,12.586087635035316,12.586087635035316
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,29,0.794921875,,815,1441792,815,1441792,12.787791074284662,12.787791074284662
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,30,0.73046875,,842,1490944,842,1490944,12.984365095415463,12.984365095415463
