comparison,question,method,method_label,baseline,baseline_label,seed,method_wikitext2_ppl,baseline_wikitext2_ppl,delta_ppl_method_minus_baseline,relative_delta_percent,stage2_runtime_delta_minutes,total_runtime_delta_minutes,stage2_candidate_evaluations_delta,total_candidate_evaluations_delta,stage2_evaluated_tokens_delta,total_evaluated_tokens_delta,winner
warm_vs_standard_initialization__standard_mutation,Warm versus standard initialization under standard mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,standard_standard,Standard initialization + standard mutation,0,10.9453125,11.46875,-0.5234375,-4.564032697547684,-2.599999999999998,6.933333333333334,-31,541,-15872,983552,method
warm_vs_standard_initialization__standard_mutation,Warm versus standard initialization under standard mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,standard_standard,Standard initialization + standard mutation,1,11.671875,10.921875,0.75,6.866952789699571,-2.8500000000000014,6.733333333333334,-31,541,-15872,983552,baseline
warm_vs_standard_initialization__standard_mutation,Warm versus standard initialization under standard mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,standard_standard,Standard initialization + standard mutation,2,11.3515625,11.3359375,0.015625,0.13783597518952448,-2.6000000000000014,7.016666666666666,-31,541,-15872,983552,baseline
warm_vs_standard_initialization__interaction_mutation,Warm versus standard initialization under interaction-aware mutation,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,standard_interaction,Standard initialization + interaction-aware mutation,0,10.984375,10.8984375,0.0859375,0.7885304659498208,-0.8333333333333321,8.7,-31,541,-15872,983552,baseline
warm_vs_standard_initialization__interaction_mutation,Warm versus standard initialization under interaction-aware mutation,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,standard_interaction,Standard initialization + interaction-aware mutation,1,11.375,11.1171875,0.2578125,2.3190442726633873,-0.5333333333333314,9.05,-31,541,-15872,983552,baseline
warm_vs_standard_initialization__interaction_mutation,Warm versus standard initialization under interaction-aware mutation,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,standard_interaction,Standard initialization + interaction-aware mutation,2,11.15625,11.2421875,-0.0859375,-0.7644197359277276,-0.13333333333333286,9.48333333333333,-31,541,-15872,983552,method
interaction_vs_standard_mutation__standard_initialization,Interaction-aware versus standard mutation under standard initialization,standard_interaction,Standard initialization + interaction-aware mutation,standard_standard,Standard initialization + standard mutation,0,10.8984375,11.46875,-0.5703125,-4.9727520435967305,-0.8999999999999986,-0.8999999999999986,0,0,0,0,method
interaction_vs_standard_mutation__standard_initialization,Interaction-aware versus standard mutation under standard initialization,standard_interaction,Standard initialization + interaction-aware mutation,standard_standard,Standard initialization + standard mutation,1,11.1171875,10.921875,0.1953125,1.78826895565093,-1.6000000000000014,-1.6000000000000014,0,0,0,0,baseline
interaction_vs_standard_mutation__standard_initialization,Interaction-aware versus standard mutation under standard initialization,standard_interaction,Standard initialization + interaction-aware mutation,standard_standard,Standard initialization + standard mutation,2,11.2421875,11.3359375,-0.09375,-0.8270158511371468,-1.6833333333333336,-1.6833333333333336,0,0,0,0,method
interaction_vs_standard_mutation__warm_initialization,Interaction-aware versus standard mutation under depth warm-starting,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,0,10.984375,10.9453125,0.0390625,0.35688793718772305,0.8666666666666671,0.8666666666666671,0,0,0,0,baseline
interaction_vs_standard_mutation__warm_initialization,Interaction-aware versus standard mutation under depth warm-starting,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,1,11.375,11.671875,-0.296875,-2.5435073627844713,0.7166666666666686,0.716666666666665,0,0,0,0,method
interaction_vs_standard_mutation__warm_initialization,Interaction-aware versus standard mutation under depth warm-starting,depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,depthwarm_standard,Depth→Joint warm start + standard mutation,2,11.15625,11.3515625,-0.1953125,-1.7205781142463867,0.783333333333335,0.7833333333333314,0,0,0,0,method
