condition,condition_label,initialization,mutation,seed,run_id,source_summary,stage1_run_id,stage1_candidate_hash,initial_parent_hash,wikitext2_ppl,best_search_fitness,final_calibration_kl,train_ppl,stage1_runtime_minutes,stage2_runtime_minutes,total_runtime_minutes,stage1_candidate_evaluations,stage2_candidate_evaluations,total_candidate_evaluations,stage1_evaluated_tokens,stage2_evaluated_tokens,total_evaluated_tokens,final_wikitext2_eval_tokens_loaded,initial_candidate_evaluations,candidate_evaluations_per_generation,evaluated_tokens_per_generation,estimated_compression_ratio,average_bitwidth_active,active_budget_valid,depth_counts_valid
standard_standard,Standard initialization + standard mutation,standard,standard,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,,,,11.46875,0.66455078125,0.6640625,11.78125,0.0,22.466666666666665,22.466666666666665,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
standard_standard,Standard initialization + standard mutation,standard,standard,1,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,,,,10.921875,0.55908203125,0.55908203125,10.3984375,0.0,22.683333333333334,22.683333333333334,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
standard_standard,Standard initialization + standard mutation,standard,standard,2,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,,,,11.3359375,0.61474609375,0.615234375,10.1015625,0.0,22.6,22.6,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
depthwarm_standard,Depth→Joint warm start + standard mutation,depth_warm,standard,0,thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,454b86987800d97eba43ad3d810527ff7143b7cabdea85e154ab2d26a1831402,d317f58ebca1b047b5be28028314aceae4264823132a18e538debc4c1382bc9b,10.9453125,0.60986328125,0.60986328125,11.2265625,9.533333333333333,19.866666666666667,29.4,572,1351,1923,999424,2458112,3457536,333824,1,27,49152,1.400303557622533,3.0,True,True
depthwarm_standard,Depth→Joint warm start + standard mutation,depth_warm,standard,1,thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,6314b9647d6ba62e35046b6b9555495ae4a8b41829eb9b8bd11da3c487396508,1cf7040a7805247454680910f0d0e8d69f16144cb40389971e40db01e5b3c09d,11.671875,0.62109375,0.62109375,11.1796875,9.583333333333334,19.833333333333332,29.416666666666668,572,1351,1923,999424,2458112,3457536,333824,1,27,49152,1.400303557622533,3.0,True,True
depthwarm_standard,Depth→Joint warm start + standard mutation,depth_warm,standard,2,thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_depthwarm_standard_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,d44e607d9348c77c8013375be1fd7e8e43861bac15c7393a9e295affacefc367,d11f872bfc15c61877d7bb226ac6fb1948dcdffc1b2432d60613c3abb60b28a8,11.3515625,0.60546875,0.60498046875,10.0234375,9.616666666666667,20.0,29.616666666666667,572,1351,1923,999424,2458112,3457536,333824,1,27,49152,1.400303557622533,3.0,True,True
standard_interaction,Standard initialization + interaction-aware mutation,standard,interaction_aware,0,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,,,,10.8984375,0.61083984375,0.6103515625,11.2421875,0.0,21.566666666666666,21.566666666666666,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
standard_interaction,Standard initialization + interaction-aware mutation,standard,interaction_aware,1,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed1/run_summary.json,,,,11.1171875,0.59130859375,0.59130859375,11.0078125,0.0,21.083333333333332,21.083333333333332,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
standard_interaction,Standard initialization + interaction-aware mutation,standard,interaction_aware,2,thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2,results/runs/thesis_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2/run_summary.json,,,,11.2421875,0.625,0.625,10.1171875,0.0,20.916666666666668,20.916666666666668,0,1382,1382,0,2473984,2473984,333824,32,27,49152,1.400303557622533,3.0,True,True
depthwarm_interaction,Depth→Joint warm start + interaction-aware mutation,depth_warm,interaction_aware,0,thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,results/runs/thesis_depthwarm_interactionaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0/run_summary.json,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,454b86987800d97eba43ad3d810527ff7143b7cabdea85e154ab2d26a1831402,d317f58ebca1b047b5be28028314aceae4264823132a18e538debc4c1382bc9b,10.984375,0.626953125,0.626953125,11.3125,9.533333333333333,20.733333333333334,30.266666666666666,572,1351,1923,999424,2458112,3457536,333824,1,27,49152,1.400303557622533,3.0,True,True
