date,run_id,method,model,sparsity_or_bits,generations,offspring,calibration_data,sequence_length,calibration_tokens,fitness_fn,attention_impl,dtype,seed,wikitext2_ppl,train_ppl,runtime_minutes,gpu_name,gpu_vram_gb,cpu_ram_limit_gb,status,notes,output_dir
2026-06-01,depth_mistral7b_s0.125_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.125,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,,,0.08,Tesla T4,15.00,16.00,failed,last_successful_step=depth_search_process_started; command_exit_code=1; parser_exit_code=1,outputs/experiments/depth_mistral7b_s0.125_seed1
2026-06-01,depth_mistral7b_s0.125_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.125,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,6.75,6.27e+00,64.22,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=4; dropped_mlp_modules=4,outputs/experiments/depth_mistral7b_s0.125_seed1
2026-06-01,depth_mistral7b_s0.25_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.25,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,14.70,1.33e+01,56.30,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=8; dropped_mlp_modules=8,outputs/experiments/depth_mistral7b_s0.25_seed1
2026-06-01,depth_mistral7b_s0.375_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,51.69,4.82e+01,46.08,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_seed1
2026-06-01,depth_mistral7b_s0.50_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.50,10,8,wikitext2,2048,8192,kl,sdpa,float16,1,371.75,3.37e+02,37.00,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=16; dropped_mlp_modules=16,outputs/experiments/depth_mistral7b_s0.50_seed1
2026-06-01,depth_mistral7b_s0.375_g20_seed1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,20,8,wikitext2,2048,8192,kl,sdpa,float16,1,26.00,2.45e+01,87.60,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_g20_seed1
2026-06-01,depth_mistral7b_s0.375_g20_seed1_retry1,depth_evo,mistralai/Mistral-7B-v0.3,0.375,20,8,wikitext2,2048,8192,kl,sdpa,float16,1,26.00,2.45e+01,87.92,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation; dropped_attn_modules=12; dropped_mlp_modules=12,outputs/experiments/depth_mistral7b_s0.375_g20_seed1_retry1
2026-06-01,dense_mistral7b_seed1,dense,mistralai/Mistral-7B-v0.3,,,,,2048,,,sdpa,float16,1,5.35,,6.40,Tesla T4,15.00,16.00,completed,last_successful_step=final_evaluation,outputs/experiments/dense_mistral7b_seed1
2026-06-01,baseline_random_mistral7b_s0.125_seed1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.08,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1
2026-06-01,baseline_random_mistral7b_s0.125_seed1_retry1,depth_baseline_random,mistralai/Mistral-7B-v0.3,0.125,,,wikitext2,2048,8192,,sdpa,float16,1,,,0.73,Tesla T4,15.00,16.00,failed,last_successful_step=baseline_evaluation_process_started; command_exit_code=1; reference_config=results/runs/depth_mistral7b_s0.125_seed1/layer_drop_config.txt; calibration_seed=1; protect_layer_zero=0,outputs/experiments/baseline_random_mistral7b_s0.125_seed1_retry1
