method,method_label,task,metric,runs,score_mean,score_sample_std,score_min,score_max
dense,Dense FP16,arc_easy,"acc_norm,none",1,0.8009259259259259,,0.8009259259259259,0.8009259259259259
dense,Dense FP16,piqa,"acc_norm,none",1,0.8199129488574538,,0.8199129488574538,0.8199129488574538
dense,Dense FP16,winogrande,"acc,none",1,0.7419100236779794,,0.7419100236779794,0.7419100236779794
depth,Depth-only,arc_easy,"acc_norm,none",3,0.5882435465768799,0.022271959525041178,0.563973063973064,0.6077441077441077
depth,Depth-only,piqa,"acc_norm,none",3,0.7372143634385201,0.007616974972796509,0.7295973884657236,0.7448313384113167
depth,Depth-only,winogrande,"acc,none",3,0.6187845303867403,0.008537216911122294,0.611681136543015,0.6282557221783741
independent,Independent depth + attention quant,arc_easy,"acc_norm,none",3,0.5345117845117845,0.043017915390737044,0.5088383838383839,0.5841750841750841
independent,Independent depth + attention quant,piqa,"acc_norm,none",3,0.6960464272760246,0.017173421256670457,0.6828073993471164,0.7154515778019587
independent,Independent depth + attention quant,winogrande,"acc,none",3,0.5582741383846357,0.058588492105960885,0.5224940805051302,0.6258879242304657
joint_g50,Joint G50 depth + attention quant,arc_easy,"acc_norm,none",3,0.5338103254769921,0.02505652518384157,0.5054713804713805,0.553030303030303
joint_g50,Joint G50 depth + attention quant,piqa,"acc_norm,none",3,0.7071091766412767,0.018308030995861018,0.6936887921653971,0.7279651795429815
joint_g50,Joint G50 depth + attention quant,winogrande,"acc,none",3,0.5609050249934228,0.031196813347100793,0.5303867403314917,0.5927387529597474
