variant,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,accepted_parent_replacement
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,1,1.216796875,23.125,22.359375,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,2,1.11328125,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,3,1.0810546875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,4,1.080078125,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,5,1.0302734375,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,6,1.029296875,16.234375,17.015625,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,7,1.0263671875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,8,0.9150390625,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,9,0.9150390625,,,False
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,10,0.9150390625,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,11,0.91357421875,14.296875,15.1328125,False
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,12,0.9130859375,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,13,0.8564453125,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,14,0.8388671875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,15,0.83740234375,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,16,0.8330078125,13.3046875,14.2734375,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,17,0.8095703125,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,18,0.80810546875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,19,0.8076171875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,20,0.794921875,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,21,0.7939453125,13.3828125,13.5078125,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,22,0.7939453125,,,False
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,23,0.7939453125,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,24,0.79443359375,,,True
max3,0,thesis_compute_matched_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,25,0.794921875,,,True
