method,method_label,task,metric,runs,score_mean,score_sample_std,score_min,score_max
dense,Dense FP16,arc_easy,"acc_norm,none",1,0.8009259259259259,,0.8009259259259259,0.8009259259259259
dense,Dense FP16,piqa,"acc_norm,none",1,0.8193688792165397,,0.8193688792165397,0.8193688792165397
dense,Dense FP16,winogrande,"acc,none",1,0.7419100236779794,,0.7419100236779794,0.7419100236779794
depth,Depth-only,arc_easy,"acc_norm,none",3,0.587682379349046,0.022088275613315982,0.5635521885521886,0.6069023569023569
depth,Depth-only,piqa,"acc_norm,none",3,0.7373957199854915,0.006558992136389254,0.7312295973884657,0.7442872687704026
depth,Depth-only,winogrande,"acc,none",3,0.6172059984214681,0.007015149500643687,0.611681136543015,0.6250986582478295
independent,Independent depth + q_proj quant,arc_easy,"acc_norm,none",3,0.5827721661054994,0.024506131718905404,0.5551346801346801,0.6018518518518519
independent,Independent depth + q_proj quant,piqa,"acc_norm,none",3,0.7388465723612623,0.00679542763699496,0.7334058759521219,0.7464635473340587
independent,Independent depth + q_proj quant,winogrande,"acc,none",3,0.6200999736911339,0.010657526493306561,0.6093133385951065,0.6306235201262825
joint_g50,Joint G50 depth + q_proj quant,arc_easy,"acc_norm,none",3,0.5795454545454546,0.045180932324308566,0.5366161616161617,0.6266835016835017
joint_g50,Joint G50 depth + q_proj quant,piqa,"acc_norm,none",3,0.7392092854552049,0.0035399385738017768,0.735582154515778,0.7426550598476604
joint_g50,Joint G50 depth + q_proj quant,winogrande,"acc,none",3,0.6082609839515917,0.0024112474059225495,0.606156274664562,0.6108918705603789
