method,seed,run_id,phase,generation,best_search_fitness,wikitext2_ppl,train_ppl,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,1,1.2021484375,22.796875,21.9375,,True,106.84682102128863
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,2,1.1806640625,,,,True,117.53522763773799
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,3,1.060546875,,,,True,128.22495203651488
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,4,1.005859375,,,,False,138.99053349718451
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,5,1.005859375,,,,True,149.8780932817608
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,6,0.90625,15.25,14.9296875,,True,222.7068759612739
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,7,0.8779296875,,,,True,233.3915820773691
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,8,0.8759765625,,,,True,244.11017011851072
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,9,0.82568359375,,,,True,254.80071732215583
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,10,0.8193359375,,,,False,265.68362297303975
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,11,0.81884765625,14.4140625,13.8046875,,True,338.30645400471985
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,12,0.8154296875,,,,True,349.01912073791027
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,13,0.79541015625,,,,False,359.755887882784
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,14,0.79541015625,,,,True,370.51512153074145
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,15,0.7763671875,,,,True,381.2807623669505
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,16,0.7724609375,12.9453125,13.171875,,True,454.2849497292191
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,17,0.685546875,,,,False,465.1003271974623
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,18,0.685546875,,,,False,475.9140249527991
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,19,0.685546875,,,,False,487.1058962326497
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,generation,20,0.68505859375,,,,False,497.85287897102535
depth,0,thesis_medium_depth_mistral_s0.25_g20_o16_seed0,final,20,0.68505859375,11.8046875,12.15625,,,572.0
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,1,1.224609375,19.5,20.890625,,True,111.68021896481514
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,2,1.244140625,,,,True,122.33270869590342
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,3,1.099609375,,,,True,132.97869280539453
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,4,1.01953125,,,,True,143.63097944296896
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,5,0.9072265625,,,,True,154.4330664742738
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,6,0.89794921875,14.6640625,14.4140625,,True,227.07547140866518
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,7,0.84716796875,,,,False,237.76042156852782
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,8,0.84765625,,,,True,248.41257455013692
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,9,0.74755859375,,,,False,259.0590242408216
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,10,0.74853515625,,,,False,269.7280993703753
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,11,0.74853515625,12.46875,12.1796875,,False,342.3639348652214
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,12,0.74853515625,,,,False,353.0578977931291
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,13,0.74755859375,,,,False,363.7211180534214
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,14,0.74853515625,,,,True,374.3924403209239
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,15,0.74462890625,,,,True,385.120921196416
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,16,0.734375,12.421875,12.1796875,,False,457.71466536819935
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,17,0.73388671875,,,,True,468.400961920619
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,18,0.73388671875,,,,True,479.13427547737956
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,19,0.71484375,,,,False,490.27974870987236
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,generation,20,0.71484375,,,,True,500.9811579436064
depth,1,thesis_medium_depth_mistral_s0.25_g20_o16_seed1,final,20,0.69921875,12.4453125,11.71875,,,575.0
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,1,1.3759765625,26.140625,24.796875,,True,112.24688515998423
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,2,1.0673828125,,,,True,122.87574627995491
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,3,1.046875,,,,True,133.57914857193828
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,4,0.888671875,,,,True,144.29242140986025
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,5,0.857421875,,,,True,154.9874875191599
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,6,0.822265625,13.671875,12.3515625,,True,227.57054822705686
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,7,0.80810546875,,,,False,238.2082334458828
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,8,0.8076171875,,,,True,248.87713784724474
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,9,0.75732421875,,,,True,259.56953882426023
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,10,0.75244140625,,,,True,270.30278233252466
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,11,0.70068359375,12.4453125,11.03125,,False,343.23411806859076
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,12,0.701171875,,,,True,354.02424562349916
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,13,0.6884765625,,,,True,364.72085312381387
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,14,0.6787109375,,,,True,375.42087267152965
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,15,0.6728515625,,,,False,386.1537263058126
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,16,0.6728515625,11.875,10.6015625,,True,458.9741231556982
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,17,0.6474609375,,,,False,469.74316669628024
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,18,0.64794921875,,,,False,480.5204778276384
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,19,0.6484375,,,,False,491.6684767715633
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,generation,20,0.6474609375,,,,True,502.36527901887894
depth,2,thesis_medium_depth_mistral_s0.25_g20_o16_seed2,final,20,0.60791015625,11.203125,10.0390625,,,577.0
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,1,0.010894775390625,5.9765625,6.171875,,False,132.9320259746164
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,2,0.005916595458984375,,,,False,151.33623738773167
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,3,0.005916595458984375,,,,True,168.63721304386854
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,4,0.005764007568359375,,,,False,186.14549019560218
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,5,0.005767822265625,,,,False,202.53152536787093
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,6,0.005764007568359375,5.9375,6.16796875,,False,299.7908567599952
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,7,0.005764007568359375,,,,False,316.7517896424979
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,8,0.005764007568359375,,,,False,333.28812418319285
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,9,0.005764007568359375,,,,True,350.1911467406899
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,10,0.005748748779296875,,,,False,366.9803952295333
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,11,0.00574493408203125,5.9375,6.16796875,,False,463.8666227106005
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,12,0.00574493408203125,,,,False,480.2033058870584
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,13,0.00574493408203125,,,,False,496.8886104039848
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,14,0.005748748779296875,,,,False,513.7223753910512
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,15,0.00574493408203125,,,,False,531.0124688819051
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,16,0.00574493408203125,5.9375,6.16796875,,False,627.7021892368793
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,17,0.005748748779296875,,,,True,645.0136284939945
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,18,0.0056915283203125,,,,False,661.130070913583
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,19,0.0056915283203125,,,,False,678.3147350419313
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,generation,20,0.005695343017578125,,,,False,695.2355116792023
quant,0,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed0,final,20,0.005687713623046875,5.9375,6.16796875,,,788.0
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,1,0.00455474853515625,5.9765625,6.0234375,,True,131.69973376579583
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,2,0.005176544189453125,,,,True,149.39682168886065
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,3,0.005115509033203125,,,,False,165.73911213874817
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,4,0.005115509033203125,,,,False,182.53148044273257
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,5,0.005115509033203125,,,,False,199.4947135914117
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,6,0.005115509033203125,5.94921875,6.01953125,,False,297.5604561958462
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,7,0.00511932373046875,,,,False,314.48978568054736
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,8,0.0051116943359375,,,,False,331.31001126393676
quant,1,thesis_medium_quant_mistral_qproj3.0_g20_o16_seed1,generation,9,0.005107879638671875,,,,False,348.6819360628724
