generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.357421875,kl,,26.5625,27.34375,,,333824,"{""wikitext2"":333824}",8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,229.23411622003186,14280.6416015625
2,1.48046875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",depth,True,236.85135973099386,14280.6416015625
3,1.3271484375,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,245.42883138201432,14280.6416015625
4,1.3271484375,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,254.26713308598846,14280.6416015625
5,1.328125,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,262.2287352060084,14280.6416015625
6,1.3291015625,kl,,22.796875,22.9375,,,333824,"{""wikitext2"":333824}",8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,322.47806278499775,14280.6416015625
7,1.3271484375,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",depth,True,330.10190918302396,14280.6416015625
8,1.3046875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":5,""quantization"":3,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",depth,True,337.5397040449898,14280.6416015625
9,1.138671875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":2,""quantization"":6,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,345.8809633469791,14280.6416015625
10,1.1357421875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",5503193088,3.0,8936.5078125,8,8,"{""type"":""mixed_depth_quantization"",""generated_offspring_by_type"":{""depth"":6,""quantization"":2,""joint_aware"":0},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",depth,True,353.8490419969894,14280.6416015625
