unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1782749996,14.04,0.00
1782750001,14.60,0.00
1782750006,16.00,13.56
1782750011,16.00,13.56
1782750016,16.00,13.56
1782750021,16.00,13.56
1782750026,15.99,13.89
1782750031,15.98,13.89
1782750036,15.98,13.89
1782750041,15.98,13.89
1782750046,15.98,13.89
1782750051,15.98,13.89
1782750056,15.98,13.89
1782750061,15.98,13.89
1782750066,15.98,13.89
1782750071,15.98,13.89
1782750077,15.98,13.89
1782750082,15.98,13.89
1782750087,15.98,13.89
1782750092,15.98,13.89
1782750097,15.98,13.89
1782750102,15.98,13.89
1782750107,15.98,13.89
1782750112,15.98,13.89
1782750117,15.98,13.89
1782750122,15.98,13.89
1782750127,15.98,13.89
1782750132,15.98,13.89
1782750137,15.98,13.89
1782750142,15.98,13.89
1782750147,15.98,13.89
1782750152,16.00,13.89
1782750157,15.96,13.89
1782750162,15.72,14.08
1782750168,15.98,14.08
1782750173,15.97,14.15
1782750178,15.97,14.15
1782750183,15.97,14.15
1782750188,15.97,14.15
1782750193,15.97,14.15
1782750198,15.97,14.15
1782750203,15.97,14.15
1782750208,15.97,14.15
1782750213,15.97,14.15
1782750218,15.97,14.15
1782750223,16.00,13.93
1782750228,15.94,14.27
1782750233,16.00,14.18
1782750239,15.94,14.20
1782750244,15.94,14.27
1782750249,16.00,13.93
1782750254,15.94,14.20
1782750259,15.94,14.14
1782750264,15.94,14.27
1782750269,15.94,14.06
1782750274,15.94,14.06
1782750279,15.94,14.06
1782750284,15.94,14.06
1782750289,15.94,14.06
1782750294,15.94,14.06
1782750299,15.94,14.06
1782750304,15.94,14.06
1782750309,15.94,14.06
1782750314,15.94,14.06
1782750320,15.94,14.14
1782750325,15.94,13.93
1782750330,16.00,14.09
1782750335,15.94,14.03
1782750340,15.97,13.98
1782750345,15.94,14.09
1782750350,15.95,14.03
1782750355,15.94,14.20
1782750360,15.94,14.06
1782750365,15.94,14.06
1782750370,15.94,14.06
1782750375,15.94,14.06
1782750381,15.94,14.06
1782750386,15.94,14.06
1782750391,15.94,14.06
1782750396,15.94,14.06
1782750401,15.94,14.06
1782750406,15.94,14.06
1782750411,15.44,14.03
