generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.07659912109375,kl,,6.36328125,6.16796875,,,333824,"{""wikitext2"":333824}",8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,136.09266451298026,14280.6416015625
2,0.04315185546875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,147.71235232398612,14280.6416015625
3,0.043121337890625,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,True,158.79551311797695,14280.6416015625
4,0.042938232421875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,169.45724594395142,14280.6416015625
5,0.042938232421875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,180.20285833399976,14280.6416015625
6,0.042938232421875,kl,,6.3828125,6.16796875,,,333824,"{""wikitext2"":333824}",8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,257.7455280519789,14280.6416015625
7,0.042938232421875,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,269.4479648889974,14280.6416015625
8,0.042877197265625,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,True,279.7834400580032,14280.6416015625
9,0.0423583984375,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,290.38115616800496,14280.6416015625
10,0.0423583984375,kl,,,,,,0,{},8,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":8,""step_size"":1,""group_rule"":""size""}",,False,300.92071934900014,14280.6416015625
