unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1782749610,0.32,0.00
1782749615,0.74,0.00
1782749620,1.07,0.00
1782749625,3.23,13.56
1782749630,5.46,13.56
1782749636,8.13,13.56
1782749641,10.64,13.56
1782749646,12.62,13.56
1782749651,14.75,13.89
1782749656,15.55,13.89
1782749661,15.55,13.89
1782749666,14.95,13.89
1782749671,16.00,14.08
1782749676,16.00,14.08
1782749681,16.00,14.15
1782749686,15.99,14.15
1782749691,15.99,14.15
1782749696,15.98,14.15
1782749701,15.98,14.15
1782749706,15.98,14.15
1782749711,15.98,14.15
1782749716,15.98,14.15
1782749721,15.98,14.15
1782749726,15.98,14.15
1782749731,15.98,14.15
1782749736,15.98,14.15
1782749741,15.98,14.15
1782749746,16.00,13.93
1782749751,15.94,14.03
1782749756,15.95,14.03
1782749761,15.94,14.27
1782749767,15.94,14.22
1782749772,15.94,14.27
1782749777,15.94,14.27
1782749782,16.00,14.08
1782749787,15.94,14.27
1782749792,15.98,13.90
1782749797,15.93,14.09
1782749802,15.93,14.06
1782749807,15.93,14.06
1782749812,15.93,14.06
1782749817,15.93,14.06
1782749822,15.93,14.06
1782749827,15.93,14.06
1782749833,15.93,14.06
1782749838,15.93,14.06
1782749843,15.93,14.06
1782749848,15.93,14.06
1782749853,15.93,14.06
1782749858,15.93,14.06
1782749863,15.93,14.06
1782749868,15.97,13.98
1782749873,15.99,14.12
1782749878,15.97,13.97
1782749883,15.99,14.12
1782749888,15.92,14.12
1782749894,15.94,14.24
1782749899,15.94,14.27
1782749904,15.94,14.27
1782749909,15.94,14.27
1782749914,15.94,14.12
1782749919,15.94,14.27
1782749924,15.94,14.13
1782749929,15.94,14.13
1782749934,15.94,14.13
1782749939,15.94,14.13
1782749944,15.94,14.13
1782749949,15.94,14.13
1782749955,15.94,14.13
1782749960,15.94,14.13
1782749965,15.94,14.13
1782749970,15.94,14.13
1782749975,15.94,14.13
1782749980,15.94,14.13
1782749985,15.94,14.13
1782749990,15.46,14.12
