unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781523815,0.96,0.00
1781523820,1.55,0.00
1781523825,3.03,2.26
1781523830,3.91,2.49
1781523835,4.68,2.49
1781523840,4.34,2.49
1781523845,5.01,2.51
1781523850,5.08,2.57
1781523855,5.08,2.57
1781523860,5.08,2.57
1781523865,5.19,2.57
1781523870,5.19,2.57
1781523875,5.19,2.57
1781523880,5.19,2.57
1781523885,5.37,2.57
1781523890,5.37,2.57
1781523896,5.37,2.57
1781523901,5.37,2.57
1781523906,5.43,2.57
1781523911,5.43,2.57
1781523916,5.43,2.57
1781523921,5.48,2.57
1781523926,5.48,2.57
1781523931,5.48,2.57
1781523936,5.48,2.57
1781523941,5.50,2.57
1781523946,5.50,2.57
1781523951,5.50,2.57
1781523956,5.50,2.57
