unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781475957,1.04,0.00
1781475962,1.54,0.00
1781475967,3.47,13.61
1781475972,7.59,13.61
1781475977,11.78,13.61
1781475982,15.37,13.94
1781475987,16.00,13.94
1781475992,15.99,13.94
1781475997,15.87,13.94
1781476002,15.37,13.94
1781476007,16.00,14.13
1781476012,15.98,14.20
1781476017,15.98,14.20
1781476022,15.98,14.20
1781476027,15.98,14.20
1781476032,15.98,14.20
1781476037,15.98,14.20
1781476042,15.98,14.20
1781476047,15.98,14.20
1781476052,15.98,14.20
1781476058,15.98,14.20
1781476063,15.98,14.20
1781476068,15.98,14.20
1781476073,15.98,13.98
1781476078,15.94,14.20
1781476083,15.94,14.11
1781476088,15.94,14.11
1781476093,15.94,14.11
1781476098,15.94,14.11
1781476103,15.94,14.11
1781476108,15.94,14.11
1781476113,15.94,14.11
1781476118,15.94,14.11
1781476123,15.94,14.11
1781476128,15.94,14.11
1781476133,15.94,14.11
1781476138,15.94,14.11
1781476143,15.95,14.11
1781476148,15.94,14.11
1781476153,15.94,14.32
1781476158,15.94,14.11
1781476163,15.94,14.11
1781476168,15.94,14.11
1781476173,15.94,14.11
1781476178,15.94,14.11
1781476183,15.94,14.11
1781476188,15.94,14.11
1781476193,15.94,14.11
1781476198,15.94,14.11
1781476203,15.94,14.11
1781476208,15.94,14.11
1781476213,15.94,14.11
1781476218,15.44,14.11
