unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781112946,4.94,0.00
1781112951,5.41,0.00
1781112956,6.61,12.54
1781112962,9.27,12.54
1781112967,12.45,12.54
1781112972,15.65,12.54
1781112977,16.00,12.54
1781112982,15.99,12.54
1781112987,16.00,12.54
1781112992,15.98,12.54
1781112997,15.27,12.54
1781113002,15.59,12.62
1781113007,15.59,12.93
1781113012,15.59,12.93
1781113017,15.59,12.93
1781113022,15.59,12.92
1781113028,15.59,12.93
1781113033,15.59,12.93
1781113038,15.59,12.93
1781113043,15.59,12.89
1781113048,15.59,12.64
1781113053,15.59,12.93
1781113058,15.59,12.68
1781113063,15.59,12.93
1781113068,15.59,12.93
1781113073,15.59,12.93
1781113078,15.59,12.93
1781113083,15.59,12.89
1781113088,15.59,12.75
1781113094,15.59,12.93
1781113099,15.59,12.93
1781113104,15.59,12.75
1781113109,15.59,12.93
1781113114,15.59,12.93
1781113119,15.59,12.93
1781113124,15.59,12.87
1781113129,15.59,12.93
1781113134,15.59,12.93
1781113139,15.59,12.93
1781113144,15.59,12.75
1781113149,15.59,12.65
1781113154,15.59,12.75
1781113159,15.59,12.93
1781113164,15.59,12.93
1781113169,15.59,12.93
1781113174,15.59,12.93
1781113179,15.59,12.75
1781113184,15.59,12.89
1781113189,15.59,12.93
1781113195,15.59,12.93
1781113200,15.59,12.93
1781113205,15.59,12.93
1781113210,15.59,12.93
1781113215,15.59,12.64
1781113221,15.59,12.86
1781113226,15.59,12.93
1781113231,15.59,12.93
1781113236,15.59,12.93
1781113241,15.59,12.93
1781113246,15.59,12.93
1781113251,15.59,12.87
1781113256,15.59,12.92
1781113261,15.59,12.93
1781113266,15.59,12.93
1781113271,15.59,12.93
1781113276,15.59,12.68
1781113281,15.59,12.93
1781113286,15.59,12.93
1781113291,15.59,12.67
1781113296,15.59,12.89
1781113301,15.59,12.93
1781113306,15.59,12.93
1781113311,15.59,12.93
1781113316,15.59,12.68
1781113321,15.59,12.89
1781113326,15.59,12.92
1781113331,15.59,12.93
1781113336,15.59,12.93
1781113341,15.59,12.86
1781113347,15.59,12.93
1781113352,15.59,12.93
1781113357,15.59,12.93
1781113362,15.59,12.75
1781113367,15.59,12.89
1781113372,15.59,12.93
1781113377,15.60,12.93
1781113382,15.60,12.93
1781113387,15.60,12.93
1781113392,15.60,12.93
1781113397,15.60,12.86
1781113403,15.60,12.92
1781113408,15.60,12.93
1781113413,15.60,12.93
1781113418,15.60,12.87
1781113423,15.60,12.92
1781113428,15.60,12.93
1781113433,15.60,12.93
1781113438,15.60,12.93
1781113443,15.60,12.93
1781113448,15.60,12.86
1781113453,15.60,12.89
1781113458,15.60,12.93
1781113463,15.60,12.93
1781113468,15.60,12.93
1781113474,15.60,12.75
1781113479,15.60,12.89
1781113484,15.60,12.93
1781113489,15.60,12.93
1781113494,15.60,12.93
1781113499,15.60,12.87
1781113504,15.60,12.92
1781113509,15.60,12.93
1781113514,15.60,12.93
1781113519,15.60,12.93
1781113524,15.60,12.64
1781113529,15.60,12.67
1781113534,15.60,12.87
1781113539,15.60,12.93
1781113544,15.60,12.93
1781113549,15.60,12.93
1781113554,15.60,12.87
1781113559,15.60,12.89
1781113564,15.60,12.93
1781113569,15.60,12.93
1781113575,15.60,12.93
1781113580,15.60,12.93
1781113585,15.60,12.86
1781113590,15.60,12.93
1781113595,15.60,12.64
1781113601,15.60,12.89
1781113606,15.60,12.93
1781113611,15.60,12.93
1781113616,15.60,12.93
1781113621,15.60,12.93
1781113626,15.60,12.86
1781113631,15.60,12.93
1781113636,15.60,12.93
1781113641,15.60,12.93
1781113646,15.60,12.67
1781113651,15.60,12.87
1781113656,15.60,12.75
1781113661,15.60,12.93
1781113666,15.60,12.75
1781113671,15.60,12.89
1781113676,15.60,12.93
1781113681,15.60,12.93
1781113686,15.60,12.93
1781113691,15.60,12.86
1781113696,15.60,12.89
1781113701,15.60,12.93
1781113706,15.60,12.93
1781113711,15.60,12.93
1781113716,15.60,12.93
1781113721,15.60,12.64
1781113727,15.60,12.89
1781113732,15.60,12.93
1781113737,15.60,12.93
1781113742,15.60,12.93
1781113747,15.60,12.67
1781113752,15.60,12.70
1781113757,15.60,12.93
1781113762,15.60,12.93
1781113767,15.60,12.93
1781113773,15.60,12.93
1781113778,15.60,12.93
1781113783,15.60,12.93
1781113788,15.60,12.86
1781113793,15.60,12.87
1781113798,15.60,12.64
1781113803,15.60,12.64
1781113808,15.60,12.64
1781113813,15.60,12.77
1781113818,15.60,12.77
1781113823,15.60,12.77
1781113828,15.60,12.87
1781113833,15.60,12.87
1781113838,15.60,12.77
1781113843,15.60,12.67
1781113848,15.60,12.68
1781113854,15.60,12.93
1781113859,15.60,12.67
1781113864,15.60,12.77
1781113869,15.60,12.86
1781113874,15.60,12.75
1781113879,15.60,12.87
1781113884,15.60,12.87
1781113889,15.60,12.87
1781113894,15.60,12.87
1781113899,15.60,12.87
1781113904,15.60,12.86
1781113909,15.60,12.75
1781113914,15.60,12.86
1781113919,15.60,12.89
1781113924,15.60,12.93
1781113929,15.60,12.93
1781113934,15.60,12.93
1781113939,15.60,12.89
1781113945,15.60,12.93
1781113950,15.60,12.93
1781113955,15.60,12.93
1781113960,15.60,12.93
1781113965,15.60,12.93
1781113970,15.60,12.93
1781113975,15.60,12.64
1781113981,15.60,12.93
1781113986,15.60,12.93
1781113991,15.60,12.93
1781113996,15.60,12.68
1781114001,15.60,12.87
1781114006,15.60,12.86
1781114011,15.60,12.75
1781114016,15.60,12.75
1781114021,15.60,12.73
1781114026,15.60,12.75
1781114031,15.60,12.75
1781114036,15.60,12.75
1781114041,15.60,12.86
1781114046,15.60,12.89
1781114051,15.60,12.92
1781114056,15.60,12.93
1781114061,15.60,12.93
1781114066,15.60,12.93
1781114071,15.60,12.93
1781114076,15.60,12.93
1781114081,15.60,12.93
1781114086,15.60,12.93
1781114091,15.60,12.93
1781114096,15.60,12.93
1781114101,15.60,12.68
1781114107,15.60,12.93
1781114112,15.60,12.93
1781114117,15.60,12.93
1781114122,15.60,12.93
1781114127,15.60,12.93
1781114133,15.60,12.93
1781114138,15.60,12.67
1781114143,15.60,12.77
1781114148,15.60,12.87
1781114153,15.60,12.87
1781114158,15.60,12.77
1781114163,15.60,12.93
1781114168,15.60,12.89
1781114173,15.60,12.93
1781114178,15.60,12.93
1781114183,15.60,12.70
