unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781440072,1.89,0.00
1781440078,2.39,0.00
1781440083,4.43,13.61
1781440088,8.37,13.61
1781440093,12.40,13.61
1781440098,15.01,13.94
1781440103,15.49,13.94
1781440108,15.80,13.94
1781440113,15.80,13.94
1781440118,1.28,13.94
1781440123,2.72,14.00
1781440128,2.72,14.00
1781440133,1.58,14.00
1781440138,1.57,14.00
1781440143,1.58,14.00
1781440148,1.58,14.00
1781440153,1.58,14.00
1781440158,1.58,14.00
1781440163,1.58,14.00
1781440168,1.58,14.00
1781440173,1.58,14.00
1781440178,1.58,14.00
1781440183,1.58,14.00
1781440188,1.58,14.00
1781440193,1.58,14.00
1781440198,1.72,14.00
1781440203,1.72,14.00
1781440208,1.72,14.00
1781440213,1.72,14.00
1781440218,1.72,14.00
1781440223,1.72,14.00
1781440228,1.72,14.00
1781440233,1.72,14.00
1781440238,1.72,14.00
1781440243,1.72,14.00
1781440248,1.72,14.00
1781440253,1.73,14.00
1781440258,1.72,14.00
1781440264,1.73,14.00
1781440269,1.87,14.00
1781440274,1.87,14.00
1781440279,1.87,14.00
1781440284,1.87,14.00
1781440289,1.87,14.00
1781440294,1.87,14.00
1781440299,1.87,14.00
1781440304,1.87,14.00
1781440309,1.87,14.00
1781440314,1.87,14.00
1781440319,1.87,14.00
1781440324,1.87,14.00
1781440329,1.87,14.00
1781440334,1.87,14.00
1781440339,1.87,14.00
