unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781109936,4.90,0.00
1781109941,5.42,0.00
1781109946,5.67,2.30
1781109951,6.46,2.30
1781109956,6.47,2.30
1781109961,6.50,2.30
1781109966,6.01,2.31
1781109971,6.28,2.40
1781109976,6.28,2.40
1781109981,6.28,2.40
1781109987,6.28,2.40
1781109992,6.28,2.40
1781109997,6.28,2.40
1781110002,6.26,2.40
1781110007,6.26,2.40
1781110012,6.34,2.38
1781110017,6.33,2.38
1781110022,6.33,2.38
1781110027,6.33,2.38
1781110032,6.33,2.38
1781110037,6.33,2.38
1781110042,6.33,2.38
1781110047,6.33,2.38
1781110052,6.33,2.38
1781110057,6.33,2.38
1781110062,6.33,2.38
1781110067,6.33,2.38
1781110072,6.33,2.38
1781110077,6.33,2.38
1781110082,6.33,2.38
1781110087,6.33,2.38
1781110092,6.33,2.38
1781110097,6.33,2.38
1781110102,6.33,2.38
1781110108,6.33,2.38
