unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781441140,0.71,0.00
1781441145,1.19,0.00
1781441150,2.71,13.61
1781441155,6.78,13.61
1781441160,11.32,13.61
1781441165,15.11,13.94
1781441170,15.92,13.94
1781441175,15.92,13.94
1781441180,15.98,13.94
1781441185,15.58,13.96
1781441190,16.00,14.00
1781441195,15.98,14.00
1781441200,15.98,14.00
1781441205,15.98,14.00
1781441210,15.98,14.00
1781441215,15.98,14.00
1781441220,15.98,14.00
1781441225,15.98,14.00
1781441230,15.98,14.00
1781441235,15.98,14.00
1781441240,15.98,14.00
1781441245,15.98,14.00
1781441250,15.98,14.00
1781441255,15.98,14.00
1781441260,15.98,14.00
1781441265,15.98,14.00
1781441270,15.97,14.00
1781441275,15.97,14.00
1781441280,15.97,14.00
1781441285,15.97,14.00
1781441290,15.97,14.00
1781441295,15.97,14.00
1781441300,15.97,14.00
1781441305,15.97,14.00
1781441310,15.97,14.00
1781441315,15.97,14.00
1781441320,15.97,14.00
1781441325,15.97,14.00
1781441331,15.97,14.00
1781441336,15.97,14.00
1781441341,15.97,14.00
1781441346,15.97,14.00
1781441351,15.97,14.08
1781441356,15.97,14.00
1781441361,15.97,14.00
1781441366,15.97,14.00
1781441371,15.97,14.00
1781441376,15.97,14.00
1781441381,15.97,14.00
1781441386,15.97,14.00
1781441391,15.97,14.00
1781441396,15.97,14.00
1781441401,15.97,14.00
1781441406,15.97,14.00
1781441411,15.97,14.00
1781441416,15.97,14.00
1781441421,15.97,14.00
1781441426,15.97,14.00
1781441431,15.97,14.00
