unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781109079,0.82,0.00
1781109084,1.30,0.00
1781109089,2.46,2.06
1781109094,3.70,2.30
1781109099,4.51,2.30
1781109104,4.51,2.30
1781109109,4.16,2.30
1781109114,4.57,2.40
1781109119,4.57,2.40
1781109124,4.57,2.40
1781109129,4.57,2.40
1781109134,4.57,2.40
1781109139,4.57,2.40
1781109144,4.57,2.40
1781109149,4.55,2.40
1781109154,4.55,2.40
1781109159,4.55,2.40
1781109165,4.65,2.38
1781109170,4.65,2.38
1781109175,4.65,2.38
1781109180,4.65,2.38
1781109185,4.65,2.38
1781109190,4.65,2.38
1781109195,4.65,2.38
1781109200,4.65,2.38
1781109205,4.65,2.38
1781109210,4.65,2.38
1781109215,4.68,2.38
1781109220,4.68,2.38
1781109226,4.68,2.38
1781109231,4.68,2.38
1781109236,4.68,2.38
1781109241,4.68,2.38
1781109246,4.68,2.38
1781109251,4.68,2.38
1781109256,4.68,2.38
1781109261,4.68,2.38
1781109266,4.68,2.38
