run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,parent_attn_mask,parent_mlp_mask
depth_tinyllama_s0.125_seed1,generation,1,4.36e-01,13.83,1.52e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,2,4.26e-01,13.83,1.52e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,3,4.26e-01,13.83,1.52e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,4,4.26e-01,13.83,1.52e+01,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,5,4.00e-01,12.97,1.42e+01,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,6,3.29e-01,12.42,1.32e+01,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,7,3.55e-01,12.42,1.32e+01,"[0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,8,3.35e-01,12.30,1.30e+01,"[0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,9,3.75e-01,12.30,1.30e+01,"[0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,generation,10,3.68e-01,12.28,1.32e+01,"[0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
depth_tinyllama_s0.125_seed1,final,,,12.28,1.32e+01,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0]","[0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0]"
