unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1780869366,8.86,0.00
1780869371,9.36,0.00
1780869376,9.62,2.49
1780869381,10.41,2.49
1780869386,10.42,2.49
1780869391,9.94,2.49
1780869397,10.56,2.74
1780869402,10.57,2.74
1780869407,10.56,2.74
1780869412,10.60,2.74
1780869417,10.60,2.74
1780869422,10.60,2.74
1780869427,10.62,2.74
1780869432,10.62,2.74
1780869437,10.62,2.74
1780869442,10.65,2.74
1780869447,10.65,2.74
1780869452,10.65,2.74
1780869457,10.68,2.74
1780869462,10.68,2.74
1780869468,10.68,2.74
1780869473,10.68,2.73
1780869478,10.68,2.73
1780869483,10.68,2.73
1780869488,10.70,2.71
1780869493,10.70,2.71
1780869498,10.70,2.71
1780869503,10.70,2.71
1780869508,10.70,2.71
1780869513,10.70,2.71
1780869518,10.75,2.71
1780869523,10.75,2.71
1780869529,10.75,2.71
1780869534,10.80,2.71
1780869539,10.80,2.71
1780869544,10.80,2.71
1780869549,10.84,2.74
1780869554,10.84,2.74
1780869559,10.84,2.74
1780869564,9.70,2.74
