run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
joint_tiny_depth0125_quant3_g10_seed1,generation,1,4.6460e-01,14.33,15.61,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,2,4.4531e-01,14.33,15.52,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,3,4.6484e-01,14.33,15.52,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,4,4.5581e-01,13.94,15.61,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,5,5.1074e-01,13.80,15.52,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""mlp"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,6,4.3652e-01,13.80,15.52,3.0000e+00,2,2,"[""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""mlp"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,7,4.9609e-01,13.46,15.05,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""mlp"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,8,4.1382e-01,13.46,15.05,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""mlp"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,9,3.1641e-01,12.13,13.25,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,generation,10,3.7256e-01,12.52,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3]]"
joint_tiny_depth0125_quant3_g10_seed1,final,,,12.55,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,2,3,3]]"
