unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1780788202,4.74,0.00
1780788207,5.22,0.00
1780788212,5.48,2.49
1780788217,6.28,2.49
1780788222,6.28,2.49
1780788227,5.80,2.49
1780788232,6.41,2.70
1780788237,6.41,2.70
1780788242,6.41,2.70
1780788247,6.42,2.64
1780788252,6.42,2.64
1780788257,6.42,2.64
1780788263,6.42,2.64
1780788268,6.42,2.64
1780788273,6.42,2.64
1780788278,6.42,2.64
1780788283,6.42,2.64
1780788288,6.42,2.64
1780788293,6.42,2.64
1780788298,6.42,2.64
1780788303,6.42,2.64
1780788308,6.42,2.64
1780788313,6.42,2.64
1780788318,6.42,2.64
1780788324,6.42,2.64
1780788329,6.42,2.64
1780788334,6.42,2.64
1780788339,6.42,2.64
1780788344,6.42,2.64
1780788349,6.42,2.64
1780788354,6.42,2.64
1780788359,6.42,2.64
1780788364,6.42,2.64
1780788369,6.42,2.64
1780788374,6.42,2.64
1780788379,6.42,2.64
1780788385,6.43,2.64
1780788390,6.43,2.64
1780788395,6.43,2.64
