unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785323023,9.16,0.00
1785323028,9.70,0.00
1785323034,11.46,13.56
1785323039,14.81,13.56
1785323044,16.00,13.56
1785323049,16.00,13.56
1785323054,16.00,13.89
1785323059,15.99,13.89
1785323064,15.98,13.89
1785323069,15.37,13.89
1785323074,15.97,13.95
1785323079,15.99,14.15
1785323084,15.99,14.15
1785323089,15.98,14.15
1785323094,15.98,14.15
1785323099,15.98,14.15
1785323104,15.98,14.15
1785323109,15.98,14.15
1785323114,15.98,14.15
1785323119,15.98,14.15
1785323124,16.00,14.09
1785323130,15.93,14.06
1785323135,15.93,14.06
1785323140,15.93,14.06
1785323145,15.93,14.06
1785323150,15.93,14.06
1785323155,15.93,14.06
1785323160,15.93,14.06
1785323165,15.94,14.06
1785323170,15.93,14.06
1785323175,15.93,14.06
1785323181,15.93,14.06
