unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785258989,10.19,0.00
1785258994,10.71,0.00
1785258999,12.28,13.56
1785259004,15.73,13.56
1785259009,16.00,13.56
1785259014,16.00,13.56
1785259020,15.99,13.89
1785259025,15.99,13.89
1785259030,15.90,13.89
1785259035,15.85,14.08
1785259040,16.00,14.15
1785259045,16.00,14.15
1785259050,15.97,14.15
1785259055,15.97,14.15
1785259060,15.97,14.15
1785259065,15.97,14.15
1785259070,15.97,14.15
1785259075,15.98,14.15
1785259080,15.98,14.15
1785259085,15.98,14.15
1785259090,15.99,13.93
1785259095,15.94,14.03
1785259100,15.95,14.06
1785259105,15.94,14.06
1785259110,15.94,14.06
1785259115,15.94,14.06
1785259120,15.94,14.06
1785259125,15.94,14.06
1785259130,15.94,14.06
1785259135,15.94,14.06
1785259140,15.94,14.06
1785259145,15.94,14.06
