unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785325474,14.40,0.00
1785325479,14.93,0.00
1785325484,16.00,13.56
1785325490,15.99,13.56
1785325495,15.99,13.89
1785325500,16.00,13.89
1785325505,15.76,13.89
1785325510,15.39,13.89
1785325515,15.97,14.15
1785325520,15.97,14.15
1785325525,15.97,14.15
1785325530,15.97,14.15
1785325535,15.97,14.15
1785325540,15.97,14.15
1785325545,15.97,14.15
1785325550,15.98,14.15
1785325555,15.97,14.15
1785325560,15.97,14.15
1785325565,15.97,13.98
1785325570,15.93,14.06
1785325575,15.93,14.06
1785325580,15.94,14.06
1785325585,15.93,14.06
1785325590,15.93,14.06
1785325595,15.93,14.06
1785325600,15.93,14.06
1785325605,15.93,14.06
1785325610,15.93,14.06
1785325615,15.93,14.06
1785325621,15.80,14.03
