unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785325739,14.37,0.00
1785325744,14.89,0.00
1785325749,16.00,13.56
1785325754,15.99,13.56
1785325759,15.99,13.89
1785325764,15.99,13.89
1785325769,15.51,13.89
1785325774,15.91,14.08
1785325779,15.97,14.15
1785325784,15.97,14.15
1785325789,15.97,14.15
1785325795,15.97,14.15
1785325800,15.97,14.15
1785325805,15.97,14.15
1785325810,15.97,14.15
1785325815,15.97,14.15
1785325820,15.97,14.15
1785325825,15.97,14.15
1785325830,15.94,14.14
1785325835,15.94,14.06
1785325840,15.94,14.06
1785325845,15.94,14.06
1785325850,15.94,14.06
1785325855,15.94,14.06
1785325860,15.94,14.06
1785325865,15.94,14.06
1785325870,15.94,14.06
1785325875,15.94,14.06
1785325880,15.94,14.06
