unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781438768,0.70,0.00
1781438773,1.36,0.00
1781438778,2.59,0.00
1781438783,10.61,0.00
1781438788,16.00,0.00
1781438793,16.00,0.00
1781438798,13.12,3.43
1781438803,4.51,12.45
1781438808,3.05,13.93
1781438813,3.62,13.93
1781438818,3.62,13.93
1781438823,3.62,13.93
1781438828,3.32,13.93
1781438833,3.40,14.94
1781438838,3.54,14.95
1781438843,3.73,14.89
1781438848,3.82,14.92
1781438853,3.92,14.89
1781438858,4.10,14.76
1781438863,4.20,14.80
1781438868,4.29,14.77
1781438873,3.62,14.73
1781438878,3.73,14.64
1781438883,3.82,14.67
1781438888,3.92,14.64
1781438893,4.10,14.55
1781438898,4.20,14.58
1781438903,4.29,14.55
1781438908,4.48,14.46
1781438913,4.57,14.49
1781438918,3.54,14.46
1781438923,3.73,14.37
1781438929,3.82,14.40
1781438934,3.92,14.37
1781438939,4.10,14.28
1781438944,4.20,14.31
1781438949,4.29,14.28
1781438954,4.48,13.87
