unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1780866941,0.96,0.00
1780866946,1.61,0.00
1780866951,1.92,0.00
1780866956,6.07,0.00
1780866961,6.16,0.00
1780866966,6.98,0.00
1780866972,7.03,0.00
1780866977,6.49,0.00
1780866982,7.11,1.05
1780866987,7.23,1.08
1780866992,7.23,1.01
1780866997,7.29,1.05
1780867002,7.35,1.08
1780867007,7.34,1.00
1780867012,7.39,1.05
1780867017,7.45,1.10
1780867022,7.45,1.00
1780867027,7.51,1.05
1780867033,7.58,1.10
1780867038,7.58,1.02
1780867043,7.64,1.02
1780867048,7.71,1.10
1780867053,7.71,1.02
1780867058,7.77,1.02
1780867063,7.84,1.10
1780867068,7.84,1.03
1780867073,7.90,1.02
1780867078,7.97,1.10
1780867083,7.97,1.03
1780867088,8.03,1.02
1780867093,8.10,1.05
1780867098,8.10,1.03
1780867104,8.17,1.02
1780867109,8.23,1.05
1780867114,8.29,1.05
1780867119,8.29,1.02
1780867124,8.35,1.05
1780867129,8.42,1.08
1780867134,8.42,1.02
1780867139,8.48,1.05
1780867144,7.27,0.85
