unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1780784466,4.71,0.00
1780784471,5.22,0.00
1780784476,5.47,2.49
1780784481,5.97,2.49
1780784486,6.28,2.49
1780784491,5.80,2.49
1780784496,6.36,2.68
1780784501,6.36,2.68
1780784506,6.36,2.68
1780784511,6.42,2.64
1780784516,6.42,2.64
1780784521,6.41,2.64
1780784527,6.42,2.64
1780784532,6.41,2.64
1780784537,6.41,2.64
1780784542,6.41,2.57
1780784547,6.42,2.64
1780784552,6.41,2.64
1780784557,6.42,2.64
1780784562,6.42,2.64
1780784567,6.42,2.64
1780784572,6.42,2.64
1780784577,6.42,2.64
1780784582,6.42,2.64
1780784587,6.42,2.64
1780784592,6.47,2.74
1780784597,6.42,2.64
1780784602,6.42,2.64
1780784607,6.42,2.64
1780784612,6.42,2.64
1780784617,6.42,2.64
1780784622,6.42,2.64
1780784627,6.42,2.64
1780784632,6.42,2.64
1780784637,6.42,2.64
1780784642,6.42,2.64
1780784647,6.42,2.64
1780784652,6.42,2.64
1780784657,6.42,2.51
1780784663,6.42,2.64
1780784668,6.42,2.64
1780784673,6.42,2.64
1780784678,6.42,2.64
1780784683,6.42,2.64
1780784688,6.42,2.64
1780784693,6.42,2.64
1780784698,6.42,2.64
1780784703,6.42,2.64
1780784708,6.46,2.70
1780784713,6.42,2.64
1780784718,6.42,2.64
1780784724,6.42,2.67
1780784729,6.42,2.64
1780784734,6.42,2.64
1780784739,6.42,2.64
1780784744,6.42,2.64
1780784749,6.42,2.64
1780784754,6.43,2.64
1780784759,6.43,2.64
1780784764,6.42,2.64
1780784769,6.43,2.64
1780784774,6.43,2.81
1780784779,6.42,2.64
1780784785,6.43,2.64
1780784790,6.43,2.51
1780784795,6.43,2.64
1780784800,6.43,2.64
1780784805,6.43,2.64
1780784810,6.43,2.64
1780784815,6.43,2.64
1780784820,6.43,2.64
1780784825,6.43,2.64
1780784830,6.43,2.64
1780784835,6.43,2.64
1780784840,6.17,2.64
