run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,1,3.6865e-01,12.28,13.97,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,2,3.1885e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,3,2.3608e-01,11.01,12.66,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,4,2.3608e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,5,2.3389e-01,11.01,12.64,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,6,2.1948e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,7,2.1948e-01,11.01,12.64,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,8,2.3853e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,9,2.1997e-01,11.01,12.64,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,10,2.1924e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,11,2.3340e-01,11.01,12.66,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,12,2.3462e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,13,2.3877e-01,11.01,12.66,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,14,2.2314e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,15,2.3462e-01,11.01,12.66,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_adaptive_tiny_pat3_max3_g20_o8_seed2,generation,16,2.2583e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3]]"
