unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781524781,3.99,0.00
1781524786,4.50,0.00
1781524791,4.75,2.49
1781524796,5.54,2.49
1781524801,5.31,2.49
1781524806,5.07,2.49
1781524811,5.67,2.70
1781524816,5.67,2.70
1781524821,5.67,2.70
1781524826,5.68,2.64
1781524831,5.68,2.64
1781524836,5.68,2.64
1781524841,5.68,2.64
1781524846,5.68,2.64
1781524851,5.68,2.64
1781524856,5.74,2.62
1781524861,5.68,2.64
1781524866,5.68,2.64
1781524871,5.68,2.64
1781524876,5.68,2.64
1781524881,5.68,2.64
1781524887,5.68,2.64
1781524892,5.68,2.64
1781524897,5.68,2.64
1781524902,5.68,2.64
1781524907,5.68,2.64
1781524912,5.68,2.64
1781524917,5.68,2.64
1781524922,5.68,2.51
1781524927,5.68,2.64
1781524932,5.68,2.64
1781524937,5.68,2.64
1781524942,5.68,2.64
1781524947,5.68,2.64
1781524952,5.68,2.64
1781524957,5.69,2.64
1781524962,5.68,2.64
1781524967,5.68,2.64
1781524972,5.69,2.68
1781524977,5.69,2.64
1781524982,5.68,2.64
1781524987,5.69,2.64
