run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,1,3.6865e-01,12.28,13.97,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,2,3.0566e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,3,3.2178e-01,12.28,13.97,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,4,3.2178e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,5,3.0859e-01,13.35,14.41,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,6,3.5815e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,7,2.9004e-01,11.97,13.35,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,8,3.2642e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,9,3.0908e-01,11.97,13.38,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,10,2.8174e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,11,2.9346e-01,11.78,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,12,2.8760e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,13,2.9346e-01,11.78,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,14,2.6831e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,15,2.7588e-01,11.78,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,16,2.8467e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none""]","[[3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,17,2.8369e-01,11.90,13.17,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none""]","[[3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,4,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,18,2.8369e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none""]","[[3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,19,2.8394e-01,11.88,13.20,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none""]","[[2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,4,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,generation,20,2.4341e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none""]","[[2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,4,2,3,3]]"
screen_coarsetofine_tiny_s3_e1_g20_o8_seed2,final,,,11.29,13.05,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none""]","[[2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,4,4,2,3,3]]"
