unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781532711,0.36,0.00
1781532716,0.88,0.00
1781532721,2.52,2.26
1781532726,3.44,2.49
1781532731,4.05,2.49
1781532736,1.46,2.49
1781532741,1.99,2.62
1781532746,2.26,2.70
1781532751,2.26,2.70
1781532756,2.26,2.70
1781532761,2.38,2.64
1781532766,2.38,2.64
1781532771,2.38,2.64
1781532776,2.47,2.57
1781532781,2.23,2.64
1781532786,2.23,2.64
1781532791,2.23,2.64
1781532796,2.43,2.64
1781532801,1.99,2.64
1781532806,1.99,2.64
1781532811,2.37,2.51
1781532816,2.37,2.64
1781532821,2.37,2.64
1781532826,2.39,2.54
1781532831,2.14,2.64
1781532836,2.14,2.64
1781532841,2.14,2.64
1781532847,2.38,2.64
1781532852,2.38,2.64
1781532857,2.38,2.64
1781532862,2.45,2.81
1781532867,2.45,2.64
1781532872,2.45,2.64
1781532877,2.52,2.73
1781532882,2.33,2.64
1781532887,2.33,2.64
1781532892,2.33,2.64
1781532897,2.52,2.64
1781532902,2.52,2.64
1781532907,2.52,2.64
1781532912,2.62,2.62
1781532917,2.60,2.64
1781532922,2.60,2.64
1781532927,1.77,2.63
