unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781526003,3.94,0.00
1781526008,4.47,0.00
1781526013,4.70,2.49
1781526018,5.49,2.49
1781526023,5.49,2.49
1781526028,5.18,2.49
1781526033,5.64,2.54
1781526038,5.63,2.70
1781526043,5.63,2.70
1781526048,5.65,2.57
1781526053,5.64,2.64
1781526058,5.64,2.64
1781526063,5.64,2.64
1781526068,5.65,2.64
1781526073,5.65,2.64
1781526078,5.65,2.64
1781526083,5.65,2.70
1781526088,5.65,2.64
1781526094,5.65,2.64
1781526099,5.65,2.63
1781526104,5.65,2.64
1781526109,5.65,2.64
1781526114,5.65,2.64
1781526119,5.65,2.64
1781526124,5.65,2.64
1781526129,5.65,2.64
1781526134,5.65,2.64
1781526139,5.65,2.64
1781526144,5.65,2.64
1781526149,5.69,2.62
1781526154,5.65,2.64
1781526159,5.65,2.64
1781526164,5.65,2.54
1781526169,5.65,2.64
1781526174,5.65,2.64
1781526179,5.65,2.64
1781526184,5.65,2.64
1781526189,5.65,2.64
1781526194,5.65,2.64
1781526199,5.65,2.64
1781526204,5.65,2.64
1781526209,5.65,2.64
1781526214,5.41,2.63
