run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
screen_jointaware_tiny_p025_g20_o8_seed2,generation,1,3.6865e-01,12.28,13.97,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,2,3.3154e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,3,3.2959e-01,12.26,13.99,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,4,3.3984e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,5,2.6953e-01,11.35,13.09,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,6,2.4487e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,7,2.4109e-01,11.24,12.82,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,8,2.3950e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,9,2.3950e-01,10.98,12.66,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,10,2.3511e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,4,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,11,2.1973e-01,11.01,12.70,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,4,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,12,2.2510e-01,,,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,4,2,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4]]"
screen_jointaware_tiny_p025_g20_o8_seed2,generation,13,2.3181e-01,11.01,12.72,3.0000e+00,2,2,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[2,4,2,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4]]"
