unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781521152,3.86,0.00
1781521157,4.37,0.00
1781521162,4.63,2.49
1781521167,5.43,2.49
1781521172,5.44,2.49
1781521177,5.53,2.49
1781521182,5.52,2.62
1781521187,5.59,2.70
1781521192,5.59,2.70
1781521197,5.59,2.70
1781521202,5.70,2.64
1781521208,5.70,2.64
1781521213,5.70,2.64
1781521218,5.82,2.62
1781521223,5.76,2.64
1781521228,5.76,2.64
1781521233,5.84,2.62
1781521238,5.78,2.64
1781521243,5.78,2.64
1781521248,5.78,2.64
1781521253,5.84,2.64
1781521259,5.84,2.64
1781521264,5.84,2.64
1781521269,5.88,2.64
1781521274,5.88,2.64
1781521279,5.88,2.64
1781521284,5.90,2.54
1781521289,5.90,2.64
1781521294,5.90,2.64
1781521299,5.90,2.64
1781521304,5.93,2.64
1781521309,5.92,2.64
1781521314,5.92,2.64
1781521319,5.93,2.64
1781521325,5.93,2.64
1781521330,5.93,2.64
1781521335,5.94,2.51
1781521340,5.57,2.64
1781521345,2.14,2.64
1781521350,2.14,2.64
1781521355,2.40,2.64
1781521360,2.40,2.64
1781521365,2.40,2.64
