unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1780482538,1.85,0.00
1780482543,2.36,0.00
1780482548,3.97,2.26
1780482553,5.32,2.49
1780482558,5.54,2.49
1780482563,5.11,2.49
1780482568,5.89,2.68
1780482573,5.89,2.68
1780482578,5.89,2.68
1780482583,6.19,2.63
1780482588,6.18,2.64
1780482593,6.18,2.64
1780482598,6.18,2.64
1780482603,6.25,2.64
1780482608,6.25,2.64
1780482613,6.25,2.64
1780482618,6.40,2.64
1780482623,6.40,2.64
1780482628,6.39,2.64
1780482633,6.46,2.64
1780482638,6.45,2.64
1780482643,6.45,2.64
1780482648,6.50,2.64
1780482653,6.50,2.64
1780482658,6.50,2.64
1780482663,6.51,2.51
1780482669,6.53,2.64
1780482674,6.53,2.64
1780482679,6.52,2.64
1780482684,6.58,2.64
1780482689,6.58,2.64
1780482694,6.58,2.64
1780482699,6.62,2.64
1780482704,6.61,2.64
1780482709,6.61,2.64
1780482714,6.65,2.64
1780482719,6.65,2.64
1780482724,6.65,2.64
1780482729,6.65,2.64
1780482734,6.66,2.64
1780482739,6.66,2.64
1780482744,6.66,2.64
1780482749,6.66,2.64
1780482754,6.66,2.64
1780482759,6.66,2.64
1780482764,6.69,2.64
1780482769,6.69,2.64
1780482774,6.69,2.64
1780482779,6.71,2.64
1780482784,6.71,2.64
1780482789,6.71,2.64
1780482794,6.71,2.57
1780482799,6.72,2.64
1780482804,6.72,2.64
1780482810,6.72,2.64
1780482815,6.72,2.64
1780482820,6.72,2.64
1780482825,6.72,2.64
1780482830,6.77,2.64
1780482835,6.77,2.64
1780482840,6.77,2.64
1780482845,6.77,2.64
1780482850,6.77,2.64
1780482855,6.77,2.64
1780482860,6.79,2.64
1780482865,6.78,2.64
1780482870,6.78,2.64
1780482875,6.79,2.54
1780482880,6.79,2.64
1780482885,6.79,2.64
1780482890,6.80,2.64
1780482895,6.80,2.64
1780482900,6.80,2.64
1780482905,6.80,2.64
