unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1782755972,14.02,0.00
1782755977,14.47,0.00
1782755982,15.21,13.56
1782755987,16.00,13.56
1782755992,16.00,13.56
1782755997,16.00,13.56
1782756002,16.00,13.56
1782756007,15.98,13.89
1782756012,16.00,13.89
1782756017,15.99,13.89
1782756022,15.49,13.89
1782756027,15.94,14.08
1782756032,16.00,14.08
1782756037,15.97,13.95
1782756042,15.97,14.15
1782756047,15.97,14.15
1782756052,15.97,14.15
1782756057,15.97,14.15
1782756062,15.97,14.15
1782756068,15.97,14.15
1782756073,15.97,14.15
1782756078,15.97,14.15
1782756083,15.97,14.15
1782756088,15.97,14.15
1782756093,16.00,14.00
1782756098,15.93,14.27
1782756103,15.97,13.98
1782756108,15.94,14.27
1782756113,16.00,13.94
1782756118,15.94,14.12
1782756123,15.97,13.94
1782756128,15.94,14.15
1782756133,15.97,13.94
1782756138,16.00,14.12
1782756143,15.93,14.06
1782756148,15.93,14.06
1782756153,15.93,14.06
1782756158,15.93,14.06
1782756163,15.93,14.06
1782756168,15.93,14.06
1782756174,15.93,14.06
1782756179,15.93,14.06
1782756184,15.93,14.06
1782756189,15.93,14.06
1782756194,15.93,14.06
1782756199,15.98,13.93
1782756204,15.94,14.25
1782756209,16.00,13.94
1782756214,15.94,14.21
1782756219,15.98,13.94
1782756224,15.94,14.25
1782756229,15.97,13.94
1782756234,15.94,14.27
1782756239,15.95,13.93
1782756244,15.94,14.27
1782756249,15.94,14.13
1782756254,15.94,14.13
1782756259,15.94,14.13
1782756264,15.94,14.13
1782756269,15.94,14.13
1782756274,15.94,14.13
1782756279,15.94,14.13
1782756284,15.94,14.13
1782756290,15.94,14.13
1782756295,15.94,14.13
1782756300,15.94,14.13
1782756305,15.97,14.00
1782756310,15.94,14.21
1782756315,15.99,14.00
1782756320,15.94,14.27
1782756325,15.97,14.00
1782756330,15.94,14.27
1782756335,16.00,14.00
1782756340,15.94,14.12
1782756345,15.94,14.00
1782756350,15.94,14.12
1782756355,15.92,14.13
1782756360,15.92,14.13
1782756365,15.92,14.13
1782756370,15.92,14.13
1782756375,15.92,14.13
1782756380,15.92,14.13
1782756385,15.92,14.13
1782756390,15.92,14.13
1782756396,15.92,14.13
1782756401,15.92,14.13
1782756406,15.92,14.13
1782756411,15.94,14.12
1782756416,15.94,14.27
1782756421,16.00,14.00
1782756426,15.93,14.27
1782756431,15.94,14.15
1782756436,15.95,14.00
1782756441,15.94,14.27
1782756446,15.97,14.00
1782756451,15.94,14.27
1782756456,15.94,14.13
1782756461,15.94,14.13
1782756466,15.94,14.13
1782756471,15.94,14.13
1782756476,15.94,14.13
1782756481,15.94,14.13
1782756486,15.94,14.13
1782756491,15.94,14.13
1782756496,15.94,14.13
1782756501,15.94,14.13
1782756507,15.94,14.13
1782756512,16.00,14.08
1782756517,15.96,14.08
1782756522,15.97,14.00
1782756527,15.94,14.27
1782756532,15.94,14.00
1782756537,15.94,14.27
1782756542,15.94,14.00
1782756547,15.94,14.27
1782756552,16.00,14.00
1782756557,15.94,14.27
1782756562,15.94,14.13
1782756567,15.94,14.13
1782756572,15.94,14.13
1782756577,15.94,14.13
1782756582,15.94,14.13
1782756587,15.94,14.13
1782756592,15.94,14.13
1782756597,15.94,14.13
1782756602,15.94,14.13
1782756607,15.94,14.13
1782756613,15.94,14.13
1782756618,15.94,14.12
1782756623,15.94,14.27
1782756628,15.94,14.22
1782756633,15.94,14.27
1782756638,16.00,14.08
1782756643,16.00,14.21
1782756648,15.94,14.12
1782756653,15.99,14.18
1782756658,15.94,14.15
1782756663,15.94,14.24
1782756668,15.94,14.13
1782756673,15.94,14.13
1782756678,15.94,14.13
1782756683,15.94,14.13
1782756688,15.94,14.13
1782756693,15.94,14.13
1782756699,15.94,14.13
1782756704,15.94,14.13
1782756709,15.94,14.13
1782756714,15.94,14.13
1782756719,15.94,14.15
1782756724,15.94,14.27
1782756729,15.98,14.08
1782756734,15.94,14.13
1782756739,15.97,14.00
1782756744,15.94,14.27
1782756749,15.97,14.00
1782756754,15.94,14.27
1782756759,15.94,14.12
1782756765,15.92,14.37
1782756770,15.92,14.13
1782756775,15.92,14.13
1782756780,15.92,14.13
1782756785,15.92,14.13
1782756790,15.92,14.13
1782756795,15.92,14.13
1782756800,15.92,14.13
1782756805,15.92,14.13
1782756810,15.92,14.13
1782756815,15.92,14.13
1782756820,15.94,14.00
1782756825,15.94,14.27
1782756830,15.97,14.00
1782756836,15.94,14.19
1782756841,15.94,14.00
1782756846,15.94,14.06
1782756851,15.96,14.00
1782756856,15.94,14.27
1782756861,15.95,14.00
1782756866,15.97,14.21
1782756871,15.94,14.13
1782756876,15.94,14.13
1782756881,15.94,14.13
1782756886,15.94,14.13
1782756891,15.94,14.13
1782756897,15.94,14.13
1782756902,15.94,14.13
1782756907,15.94,14.13
1782756912,15.94,14.13
1782756917,15.94,14.13
1782756922,15.94,14.13
1782756927,15.94,14.13
1782756932,16.00,14.08
1782756937,15.97,14.00
1782756942,15.94,14.27
1782756947,15.94,14.15
1782756952,15.94,14.12
1782756958,16.00,14.00
1782756963,15.94,14.27
1782756968,15.94,14.00
1782756973,16.00,14.21
1782756978,15.94,14.13
1782756983,15.94,14.13
1782756988,15.94,14.13
1782756993,15.94,14.13
1782756998,15.94,14.13
1782757003,15.94,14.13
1782757008,15.94,14.13
1782757013,15.94,14.13
1782757018,15.94,14.13
1782757024,15.94,14.13
1782757029,15.94,14.00
1782757034,15.94,14.27
1782757039,15.94,14.00
1782757044,15.94,14.27
1782757049,15.95,14.00
1782757054,15.94,14.06
1782757059,15.95,14.00
1782757064,15.94,14.27
1782757069,15.94,14.00
1782757074,15.94,14.18
1782757079,15.94,14.27
1782757084,15.94,14.13
1782757089,15.94,14.13
1782757094,15.94,14.13
1782757099,15.94,14.13
1782757105,15.94,14.13
1782757110,15.94,14.13
1782757115,15.94,14.13
1782757120,15.94,14.13
1782757125,15.94,14.13
1782757130,15.94,14.13
1782757135,15.46,14.12
