run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,1,1.4336e+00,25.30,26.41,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,2,1.3281e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""mlp"",""attn"",""none"",""mlp"",""attn"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""none"",""none""]","[[3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,3,1.2031e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""attn"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""mlp"",""none"",""none"",""none"",""attn"",""none"",""attn+mlp"",""none"",""none""]","[[3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,4,1.1660e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""none"",""none"",""attn"",""none"",""attn"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,5,1.0547e+00,,,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""attn"",""none"",""none"",""attn+mlp"",""mlp"",""mlp"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,6,1.0137e+00,17.14,16.78,3.0000e+00,8,8,"[""none"",""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,7,9.1504e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""attn+mlp"",""none"",""attn"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,8,8.9746e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""attn+mlp"",""mlp"",""none"",""attn+mlp"",""none"",""attn"",""none"",""none"",""none"",""none""]","[[3,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,9,8.4277e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3]]"
thesis_attention_interactionaware_joint_mistral_s0.25_attention3.0_g50_o16_seed1,generation,10,8.4326e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn+mlp"",""attn+mlp"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none"",""none"",""none"",""none"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3],[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3]]"
