unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1783051334,15.00,0.00
1783051339,15.56,0.00
1783051344,16.00,13.56
1783051349,15.99,13.56
1783051354,16.00,13.56
1783051359,16.00,13.56
1783051364,15.99,13.89
1783051369,16.00,13.89
1783051374,15.82,13.89
1783051379,15.22,13.90
1783051384,15.99,14.08
1783051390,15.97,14.08
1783051395,15.97,14.15
1783051400,15.97,14.15
1783051405,15.97,14.15
1783051410,15.97,14.15
1783051415,15.97,14.15
1783051420,15.97,14.15
1783051425,15.97,14.15
1783051430,15.97,14.15
1783051435,15.97,14.15
1783051440,15.97,14.15
1783051445,15.97,14.15
1783051450,15.97,13.98
1783051455,15.94,14.27
1783051460,15.98,13.93
1783051465,15.94,14.14
1783051470,15.94,14.27
1783051475,15.97,13.98
1783051480,15.94,14.27
1783051485,15.94,14.27
1783051490,15.94,14.09
1783051495,15.94,14.27
1783051500,16.00,13.93
1783051505,15.94,14.27
1783051510,15.99,14.21
1783051515,15.94,14.06
1783051520,15.94,14.06
1783051526,15.94,14.06
1783051531,15.94,14.06
1783051536,15.94,14.06
1783051541,15.94,14.06
1783051546,15.94,14.06
1783051551,15.94,14.06
1783051556,15.94,14.06
1783051561,15.94,14.06
1783051566,15.98,13.93
1783051571,15.94,14.15
1783051576,15.96,14.21
1783051581,15.97,13.94
1783051586,15.94,14.15
1783051591,15.94,14.21
1783051596,15.97,13.93
1783051601,15.94,14.27
1783051606,15.97,14.00
1783051611,15.94,14.27
1783051616,15.94,14.15
1783051621,15.94,14.15
1783051626,15.94,14.27
1783051631,15.94,14.13
1783051636,15.94,14.13
1783051641,15.94,14.13
1783051647,15.94,14.13
1783051652,15.94,14.13
1783051657,15.94,14.13
1783051662,15.94,14.13
1783051667,15.94,14.13
1783051672,15.94,14.13
1783051677,15.94,14.13
1783051682,15.94,14.00
1783051687,15.94,14.00
1783051692,15.92,14.12
1783051697,15.97,13.97
1783051702,15.94,14.27
1783051707,15.98,13.97
1783051712,16.00,14.20
1783051718,15.94,14.14
1783051723,15.94,14.14
1783051728,15.95,14.21
1783051733,15.98,14.03
1783051738,15.94,14.15
1783051743,15.94,14.27
1783051748,15.94,14.16
1783051753,15.94,14.16
1783051758,15.94,14.16
1783051763,15.94,14.16
1783051768,15.94,14.16
1783051773,15.94,14.16
1783051778,15.94,14.16
1783051784,15.94,14.16
1783051789,15.94,14.16
1783051794,15.94,14.16
1783051799,15.99,14.03
1783051804,15.94,14.27
1783051809,15.97,14.03
1783051814,15.94,14.15
1783051819,15.94,14.15
1783051824,15.98,14.21
1783051829,15.94,14.27
1783051834,15.94,14.15
1783051839,16.00,14.03
1783051845,15.97,14.03
1783051850,15.97,14.15
1783051855,15.94,14.27
1783051860,15.94,14.16
1783051865,15.94,14.16
1783051870,15.94,14.16
1783051875,15.94,14.16
1783051880,15.94,14.16
1783051885,15.94,14.16
1783051890,15.94,14.16
1783051895,15.94,14.16
1783051900,15.94,14.16
1783051905,15.94,14.16
1783051910,15.97,14.03
1783051916,15.94,14.27
1783051921,15.96,14.03
1783051926,15.94,14.40
1783051931,15.98,14.15
1783051936,15.97,14.03
1783051941,15.94,14.27
1783051946,15.95,14.03
1783051951,15.94,14.28
1783051956,15.94,14.10
1783051961,15.94,14.15
1783051966,15.93,14.09
1783051971,15.92,14.22
1783051976,15.92,14.22
1783051981,15.92,14.22
1783051986,15.92,14.22
1783051992,15.92,14.22
1783051997,15.92,14.22
1783052002,15.92,14.22
1783052007,15.92,14.22
1783052012,15.92,14.22
1783052017,15.92,14.22
1783052022,15.93,14.10
1783052027,15.96,14.22
1783052032,15.94,14.22
1783052037,15.94,14.27
1783052042,15.94,14.22
1783052047,15.97,14.10
1783052052,16.00,14.22
1783052057,15.94,14.22
1783052063,15.94,14.22
1783052068,15.94,14.22
1783052073,15.94,14.22
1783052078,15.94,14.28
1783052083,15.94,14.28
1783052088,15.94,14.28
1783052093,15.94,14.28
1783052098,15.94,14.28
1783052103,15.94,14.28
1783052108,15.94,14.28
1783052113,15.94,14.28
1783052118,15.94,14.28
1783052124,15.94,14.28
1783052129,15.94,14.28
1783052134,15.94,14.28
1783052139,15.94,14.22
1783052144,15.92,14.28
1783052149,15.97,14.22
1783052154,15.94,14.31
1783052159,15.94,14.22
1783052164,15.94,14.28
1783052169,15.94,14.22
1783052174,15.94,14.31
1783052179,15.94,14.22
1783052185,15.92,14.22
1783052190,15.92,14.28
1783052195,15.92,14.28
1783052200,15.92,14.28
1783052205,15.92,14.28
1783052210,15.92,14.28
1783052215,15.92,14.28
1783052220,15.92,14.28
1783052225,15.92,14.28
1783052230,15.92,14.28
1783052235,15.92,14.28
1783052240,15.92,14.28
1783052246,15.92,14.28
1783052251,15.92,14.34
1783052256,15.93,14.28
1783052261,15.94,14.28
1783052266,15.94,14.34
1783052271,15.92,14.34
1783052276,15.97,14.28
1783052281,15.92,14.28
1783052286,15.92,14.34
1783052291,15.92,14.28
1783052296,15.93,14.28
1783052301,15.93,14.34
1783052307,15.92,14.34
1783052312,15.92,14.34
1783052317,15.92,14.34
1783052322,15.92,14.34
1783052327,15.92,14.34
1783052332,15.92,14.34
1783052337,15.92,14.34
1783052342,15.92,14.34
1783052347,15.92,14.34
1783052352,15.92,14.34
1783052357,15.93,14.28
1783052362,15.94,14.34
1783052368,15.94,14.28
1783052373,15.97,14.34
1783052378,15.94,14.34
1783052383,15.94,14.28
1783052388,15.94,14.34
1783052393,15.94,14.28
1783052398,15.94,14.34
1783052403,15.97,14.28
1783052408,15.97,14.28
1783052413,15.94,14.34
1783052418,15.94,14.34
1783052423,15.94,14.34
1783052429,15.94,14.34
1783052434,15.94,14.34
1783052439,15.94,14.34
