generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.07659912109375,kl,,6.36328125,6.16796875,,,333824,"{""wikitext2"":333824}",16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,130.5012189890258,14280.6416015625
2,0.0430908203125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,144.534407455998,14280.6416015625
3,0.043060302734375,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,157.05354382499354,14280.6416015625
4,0.0430908203125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,171.44305268704193,14280.6416015625
5,0.0430908203125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,186.93398276501102,14280.6416015625
6,0.04278564453125,kl,,6.35546875,6.15625,,,333824,"{""wikitext2"":333824}",16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,270.1218786390382,14280.6416015625
7,0.04278564453125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,283.97728181799175,14280.6416015625
8,0.042755126953125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,298.6089401440113,14280.6416015625
9,0.042694091796875,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,313.62360790302046,14280.6416015625
10,0.042724609375,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,326.74241573299514,14280.6416015625
11,0.042724609375,kl,,6.3515625,6.16015625,,,333824,"{""wikitext2"":333824}",16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,405.9395089650061,14280.6416015625
12,0.042388916015625,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,418.08538120304,14280.6416015625
13,0.04229736328125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,431.39454169600504,14280.6416015625
14,0.04229736328125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,444.93039444700116,14280.6416015625
15,0.04229736328125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,457.2368093500263,14280.6416015625
16,0.042266845703125,kl,,6.34375,6.2421875,,,333824,"{""wikitext2"":333824}",16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,False,535.4982572580338,14280.6416015625
17,0.04229736328125,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,548.5639769580448,14280.6416015625
18,0.041961669921875,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,560.6039303970174,14280.6416015625
19,0.04156494140625,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,573.3776414520107,14280.6416015625
20,0.041473388671875,kl,,,,,,0,{},16,4,2,1,"[4,2,1]","[512,2048,8192]",7248023552,3.0,11744.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",,True,586.1291932539898,14280.6416015625
