unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1782751527,14.05,0.00
1782751532,14.50,0.00
1782751537,15.93,13.56
1782751542,16.00,13.56
1782751547,16.00,13.56
1782751552,16.00,13.56
1782751557,16.00,13.89
1782751562,15.68,13.89
1782751567,16.00,13.89
1782751572,15.82,13.89
1782751577,15.37,13.89
1782751582,16.00,14.08
1782751587,15.98,14.08
1782751592,15.99,14.08
1782751597,16.00,14.15
1782751602,15.99,14.15
1782751608,15.98,14.15
1782751613,15.98,14.15
1782751618,15.98,14.15
1782751623,15.98,14.15
1782751628,15.98,14.15
1782751633,15.98,14.15
1782751638,15.98,14.15
1782751643,15.98,14.15
1782751648,15.98,14.15
1782751653,15.98,14.15
1782751658,15.98,14.15
1782751663,15.99,13.93
1782751668,16.00,13.93
1782751673,15.94,14.27
1782751678,15.97,13.94
1782751683,15.97,13.94
1782751688,15.94,14.15
1782751693,15.97,13.94
1782751698,16.00,14.08
1782751703,16.00,14.21
1782751708,16.00,13.93
1782751713,15.94,14.27
1782751718,16.00,14.12
1782751723,15.97,13.93
1782751728,15.94,14.37
1782751734,15.94,14.06
1782751739,15.94,14.06
1782751744,15.94,14.06
1782751749,15.94,14.06
1782751754,15.94,14.06
1782751759,15.94,14.06
1782751764,15.94,14.06
1782751769,15.94,14.06
1782751774,15.94,14.06
1782751779,15.94,14.06
1782751784,15.94,14.06
1782751789,15.94,14.06
1782751794,15.94,14.06
1782751799,15.94,14.06
1782751804,15.97,13.93
1782751809,15.94,14.27
1782751814,16.00,13.93
1782751819,15.94,14.12
1782751824,15.94,14.27
1782751829,15.98,13.93
1782751834,15.94,14.15
1782751839,15.96,13.93
1782751844,15.96,14.21
1782751849,15.94,14.27
1782751854,16.00,13.93
1782751859,15.94,14.27
1782751865,15.94,14.21
1782751870,15.94,14.06
1782751875,15.94,14.06
1782751880,15.94,14.06
1782751885,15.94,14.06
1782751890,15.94,14.06
1782751895,15.94,14.06
1782751900,15.94,14.06
1782751905,15.94,14.06
1782751910,15.94,14.06
1782751915,15.94,14.06
1782751920,15.94,14.06
1782751925,15.94,14.06
1782751930,15.94,14.06
1782751935,15.97,13.94
1782751940,15.94,14.27
1782751945,15.98,13.93
1782751950,16.00,14.18
1782751955,15.93,14.15
1782751960,16.00,13.94
1782751965,15.94,14.21
1782751970,15.94,13.94
1782751975,15.94,14.15
1782751980,15.97,14.06
1782751985,15.97,13.94
1782751990,15.94,14.27
1782751995,15.94,14.06
1782752000,15.94,14.06
1782752006,15.94,14.06
1782752011,15.94,14.06
1782752016,15.94,14.06
1782752021,15.94,14.06
1782752026,15.94,14.06
1782752031,15.94,14.06
1782752036,15.94,14.06
1782752041,15.94,14.06
1782752046,15.94,14.06
1782752051,15.94,14.06
1782752056,15.94,14.06
1782752061,15.94,14.06
1782752066,15.94,14.06
1782752071,15.93,14.27
1782752076,15.98,13.93
1782752081,15.94,14.27
1782752086,15.94,14.00
1782752091,15.94,14.06
1782752096,15.97,14.06
1782752101,15.97,13.93
1782752106,15.94,14.27
1782752111,15.95,13.94
1782752116,15.94,14.08
1782752121,15.94,14.12
1782752126,15.92,14.06
1782752131,15.92,14.06
1782752136,15.92,14.06
1782752141,15.92,14.06
1782752147,15.92,14.06
1782752152,15.92,14.06
1782752157,15.92,14.06
1782752162,15.92,14.06
1782752167,15.92,14.06
1782752172,15.92,14.06
1782752177,15.92,14.06
1782752182,15.92,14.06
1782752187,15.92,14.06
1782752192,15.44,14.06
