unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781455146,14.20,0.00
1781455151,14.71,0.00
1781455156,15.67,13.61
1781455162,16.00,13.61
1781455167,16.00,13.94
1781455172,16.00,13.94
1781455177,16.00,13.94
1781455182,15.82,13.94
1781455187,15.37,13.94
1781455192,15.98,14.13
1781455197,15.98,14.20
1781455202,15.98,14.20
1781455207,15.98,14.20
1781455212,15.98,14.20
1781455217,15.98,14.20
1781455222,15.98,14.20
1781455227,15.98,14.20
1781455232,15.98,14.20
1781455237,15.98,14.20
1781455242,15.98,14.20
1781455247,15.98,14.20
1781455252,15.98,14.20
1781455257,15.98,14.20
1781455262,15.94,14.32
1781455267,16.00,14.17
1781455272,15.97,13.98
1781455277,15.94,14.19
1781455282,15.94,14.25
1781455287,15.94,14.19
1781455292,15.94,14.32
1781455297,15.94,14.19
1781455302,15.94,14.32
1781455307,15.96,14.02
1781455312,15.94,14.14
1781455317,15.94,14.19
1781455322,15.94,14.14
1781455327,15.94,14.14
1781455332,15.94,14.14
1781455338,15.94,14.14
1781455343,15.94,14.14
1781455348,15.94,14.14
1781455353,15.94,14.14
1781455358,15.94,14.14
1781455363,15.94,14.14
1781455368,15.94,14.14
1781455373,15.94,14.14
1781455378,15.94,14.14
1781455383,15.97,14.02
1781455388,15.97,14.14
1781455393,15.94,14.25
1781455398,15.94,14.32
1781455403,15.94,14.32
1781455408,15.94,14.02
1781455413,15.94,14.19
1781455418,15.96,14.14
1781455423,15.94,14.32
1781455428,15.94,14.32
1781455433,15.94,14.02
1781455438,15.94,14.19
1781455443,16.00,14.14
1781455448,15.92,14.14
1781455453,15.92,14.14
1781455458,15.92,14.14
1781455463,15.92,14.14
1781455468,15.92,14.14
1781455473,15.92,14.14
1781455478,15.92,14.14
1781455483,15.92,14.14
1781455488,15.92,14.14
1781455493,15.92,14.14
1781455498,15.92,14.14
1781455503,15.92,14.14
1781455508,15.92,14.02
1781455513,15.92,14.25
1781455519,15.92,14.25
1781455524,15.95,14.13
1781455529,15.92,14.32
1781455534,15.92,14.02
1781455539,15.92,14.19
1781455544,15.92,14.32
1781455549,15.93,14.13
1781455554,15.99,14.14
1781455559,15.99,14.02
1781455564,15.94,14.14
1781455569,15.93,14.14
1781455574,15.93,14.14
1781455579,15.93,14.14
1781455584,15.93,14.14
1781455589,15.93,14.14
1781455594,15.93,14.14
1781455599,15.93,14.14
1781455604,15.93,14.14
1781455609,15.93,14.14
1781455614,15.93,14.14
1781455619,15.93,14.14
1781455624,15.93,14.14
1781455629,15.93,14.14
1781455634,15.94,14.32
1781455639,15.94,14.32
1781455644,15.94,14.02
1781455649,15.94,14.13
1781455654,15.94,14.32
1781455659,15.94,14.19
1781455664,15.94,14.32
1781455669,15.94,14.02
1781455674,15.94,14.14
1781455679,15.92,14.02
1781455684,15.96,14.13
1781455689,15.92,14.32
1781455694,15.92,14.14
1781455700,15.92,14.14
1781455705,15.92,14.14
1781455710,15.92,14.14
1781455715,15.92,14.14
1781455720,15.92,14.14
1781455725,15.92,14.14
1781455730,15.92,14.14
1781455735,15.92,14.14
1781455740,15.92,14.14
1781455745,15.92,14.14
1781455750,15.92,14.14
1781455755,15.92,14.02
1781455760,15.92,14.19
1781455765,15.92,14.14
1781455770,15.92,14.19
1781455775,15.92,14.32
1781455780,15.93,14.02
1781455785,15.92,14.08
1781455790,15.98,14.14
1781455795,15.94,14.14
1781455800,15.92,14.19
1781455805,15.92,14.02
1781455810,15.92,14.19
1781455815,15.92,14.25
1781455820,15.92,14.14
1781455825,15.92,14.14
1781455830,15.92,14.14
1781455835,15.92,14.14
1781455840,15.92,14.14
1781455845,15.92,14.14
1781455850,15.92,14.14
1781455855,15.92,14.14
1781455860,15.92,14.14
1781455865,15.92,14.14
1781455870,15.92,14.14
1781455875,15.92,14.14
1781455881,15.92,14.13
1781455886,15.92,14.23
1781455891,15.93,14.02
1781455896,15.92,14.19
1781455901,15.92,14.14
1781455906,15.92,14.19
1781455911,15.92,14.32
1781455916,15.93,14.02
1781455921,15.95,14.14
1781455926,15.92,14.08
1781455931,15.93,14.02
1781455936,15.92,14.32
1781455941,15.92,14.14
1781455946,15.92,14.14
1781455951,15.92,14.14
1781455956,15.92,14.14
1781455961,15.92,14.14
1781455966,15.92,14.14
1781455971,15.92,14.14
1781455976,15.92,14.14
1781455981,15.92,14.14
