unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785365481,14.01,0.00
1785365486,14.55,0.00
1785365492,16.00,13.56
1785365497,16.00,13.56
1785365502,16.00,13.56
1785365507,15.96,13.89
1785365512,16.00,13.89
1785365517,15.44,13.89
1785365522,16.00,14.08
1785365527,16.00,14.15
1785365532,15.98,14.15
1785365537,15.98,14.15
1785365542,15.98,14.15
1785365547,15.98,14.15
1785365552,15.98,14.15
1785365557,15.98,14.15
1785365562,15.98,14.15
1785365567,15.98,14.15
1785365572,15.98,14.15
1785365577,15.97,13.98
1785365582,15.94,14.12
1785365587,15.94,14.27
1785365592,15.98,13.97
1785365597,15.94,14.14
1785365602,15.94,14.27
1785365607,15.94,14.27
1785365612,15.94,14.21
1785365618,15.97,13.97
1785365623,15.94,14.27
1785365628,15.94,13.97
1785365633,15.94,14.22
1785365638,15.94,14.28
1785365643,15.94,14.09
1785365648,15.94,14.09
1785365653,15.94,14.09
1785365658,15.94,14.09
1785365663,15.94,14.09
1785365668,15.94,14.09
1785365673,15.94,14.09
1785365678,15.94,14.09
1785365683,15.94,14.09
1785365688,15.94,14.09
1785365693,15.97,13.97
1785365698,15.94,14.28
1785365704,15.94,14.15
1785365709,15.98,14.08
1785365714,15.92,14.09
1785365719,15.97,13.97
1785365724,15.94,14.27
1785365729,15.94,13.97
1785365734,15.94,14.20
1785365739,15.94,14.20
1785365744,15.94,14.14
1785365749,15.94,14.22
1785365754,15.94,14.09
1785365759,15.94,14.09
1785365765,15.94,14.09
1785365770,15.94,14.09
1785365775,15.94,14.09
1785365780,15.94,14.09
1785365785,15.94,14.09
1785365790,15.94,14.09
1785365795,15.94,14.09
1785365800,15.94,14.09
1785365805,15.94,13.97
1785365810,15.94,14.09
1785365815,15.95,14.09
1785365820,15.93,14.15
1785365826,15.93,14.27
1785365831,15.93,13.97
1785365836,15.93,14.27
1785365841,15.93,13.97
1785365846,15.93,14.14
1785365851,15.98,14.20
1785365856,15.93,14.27
1785365861,15.93,14.27
1785365866,15.93,14.09
1785365871,15.93,14.09
1785365876,15.93,14.09
1785365881,15.93,14.09
1785365887,15.93,14.09
1785365892,15.93,14.09
1785365897,15.93,14.09
1785365902,15.93,14.09
1785365907,15.93,14.09
1785365912,15.93,14.09
1785365917,15.93,13.97
1785365922,15.93,14.27
1785365927,15.93,14.09
1785365932,15.93,13.97
1785365938,15.93,14.09
1785365943,15.92,13.97
1785365948,15.92,14.14
1785365953,15.98,14.09
1785365958,15.94,13.97
1785365963,15.92,14.27
1785365968,15.94,13.97
1785365973,15.92,14.03
1785365978,15.92,14.20
1785365983,15.96,14.09
1785365988,15.96,14.09
1785365993,15.96,14.09
1785365999,15.96,14.09
1785366004,15.96,14.09
1785366009,15.96,14.09
1785366014,15.96,14.09
1785366019,15.96,14.09
1785366024,15.96,14.09
1785366029,15.96,14.09
1785366034,15.98,13.97
1785366039,15.94,14.09
1785366044,15.94,14.27
1785366049,15.94,14.27
1785366055,15.94,14.27
1785366060,15.94,14.06
1785366065,15.94,14.15
1785366070,15.94,14.27
1785366075,15.94,14.14
1785366080,15.94,14.27
1785366085,15.95,13.97
1785366090,15.95,14.09
1785366095,15.94,14.27
1785366100,15.94,14.09
1785366105,15.94,14.09
1785366111,15.94,14.09
1785366116,15.94,14.09
1785366121,15.94,14.09
1785366126,15.94,14.09
1785366131,15.94,14.09
1785366136,15.94,14.09
1785366141,15.94,14.09
1785366146,15.94,14.09
1785366151,15.94,13.97
1785366156,15.94,14.28
1785366162,15.94,14.09
1785366167,15.96,14.09
1785366172,15.94,14.20
1785366177,15.96,13.97
1785366182,15.99,14.09
1785366187,15.92,13.97
1785366192,15.99,14.09
1785366197,15.92,14.14
1785366202,15.92,14.27
1785366207,15.92,14.24
1785366212,15.92,14.09
1785366218,15.92,14.09
1785366223,15.92,14.09
1785366228,15.92,14.09
1785366233,15.92,14.09
1785366238,15.92,14.09
1785366243,15.92,14.09
1785366248,15.92,14.09
1785366253,15.92,14.09
1785366258,15.92,14.09
1785366264,15.93,13.97
1785366269,15.93,14.20
1785366274,15.92,14.09
1785366279,15.92,13.97
1785366284,15.92,14.27
1785366289,15.93,13.97
1785366294,15.95,14.09
1785366299,15.99,14.12
1785366304,15.93,14.09
1785366309,15.92,14.15
1785366314,15.93,13.97
1785366319,15.92,14.14
1785366324,15.92,14.09
1785366330,15.92,14.09
1785366335,15.92,14.09
1785366340,15.92,14.09
1785366345,15.92,14.09
1785366350,15.92,14.09
1785366355,15.92,14.09
1785366360,15.92,14.09
1785366365,15.92,14.09
1785366370,15.92,14.09
1785366375,15.92,14.09
1785366381,15.92,14.27
1785366386,15.92,14.27
1785366391,15.95,13.97
1785366396,15.92,14.27
1785366401,15.96,13.97
1785366406,15.92,14.14
1785366411,15.92,14.27
1785366416,15.93,13.97
1785366421,15.92,14.34
1785366426,15.92,13.97
1785366431,15.92,14.22
1785366436,15.92,14.09
1785366442,15.92,14.09
1785366447,15.92,14.09
1785366452,15.92,14.09
1785366457,15.92,14.09
1785366462,15.92,14.09
1785366467,15.92,14.09
1785366472,15.92,14.09
1785366477,15.92,14.09
1785366482,15.92,14.09
1785366487,15.92,14.09
1785366492,15.92,13.97
1785366497,15.92,14.14
1785366503,15.92,14.27
1785366508,15.98,13.97
1785366513,15.98,14.20
1785366518,15.92,13.97
1785366523,15.92,14.28
1785366528,15.92,14.27
1785366533,15.92,14.27
1785366538,15.92,14.27
1785366543,15.95,13.97
1785366548,15.92,14.14
1785366553,15.92,14.15
1785366558,15.92,14.09
1785366564,15.92,14.09
1785366569,15.92,14.09
1785366574,15.92,14.09
1785366579,15.92,14.09
1785366584,15.92,14.09
1785366589,15.92,14.09
1785366594,15.92,14.09
1785366599,15.92,14.09
1785366604,15.92,14.09
1785366609,15.92,13.97
1785366614,15.92,14.09
1785366619,15.92,14.03
1785366625,15.92,14.15
1785366630,15.92,14.14
1785366635,15.92,13.97
1785366640,15.92,14.14
1785366645,15.92,14.27
1785366650,15.92,14.27
1785366655,15.92,14.14
1785366660,15.95,13.97
1785366665,15.92,14.09
1785366670,15.92,14.09
1785366675,15.92,14.09
1785366681,15.92,14.09
1785366686,15.92,14.09
1785366691,15.92,14.09
1785366696,15.92,14.09
1785366701,15.92,14.09
1785366706,15.92,14.09
1785366711,15.92,14.09
1785366716,15.92,14.09
1785366721,15.92,14.09
