unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785366729,14.05,0.00
1785366734,14.60,0.00
1785366739,16.00,13.56
1785366744,16.00,13.56
1785366749,16.00,13.56
1785366754,16.00,13.89
1785366759,16.00,13.89
1785366764,15.51,13.89
1785366769,15.98,14.08
1785366774,16.00,14.15
1785366780,15.98,14.15
1785366785,15.98,14.15
1785366790,15.98,14.15
1785366795,15.98,14.15
1785366800,15.98,14.15
1785366805,15.98,14.15
1785366810,15.98,14.15
1785366815,15.98,14.15
1785366820,15.98,14.15
1785366825,15.99,13.93
1785366830,15.94,14.15
1785366835,15.94,13.97
1785366840,15.94,14.14
1785366845,15.94,14.27
1785366850,15.95,14.09
1785366855,15.94,14.27
1785366860,15.94,14.14
1785366865,15.94,14.27
1785366870,16.00,13.97
1785366875,16.00,14.20
1785366880,15.94,14.09
1785366885,15.94,14.09
1785366890,15.94,14.09
1785366895,15.94,14.09
1785366900,15.94,14.09
1785366905,15.94,14.09
1785366911,15.94,14.09
1785366916,15.94,14.09
1785366921,15.94,14.09
1785366926,15.94,14.09
1785366931,15.94,14.09
1785366936,15.94,14.14
1785366941,16.00,14.08
1785366946,15.94,14.14
1785366951,15.94,14.27
1785366956,15.94,13.97
1785366961,15.94,14.27
1785366966,15.94,13.97
1785366971,15.94,14.27
1785366976,15.94,13.97
1785366981,15.94,14.14
1785366986,16.00,14.09
1785366991,15.92,14.09
1785366996,15.92,14.09
1785367001,15.92,14.09
1785367006,15.92,14.09
1785367011,15.92,14.09
1785367016,15.92,14.09
1785367021,15.92,14.09
1785367026,15.92,14.09
1785367031,15.92,14.09
1785367037,15.92,14.09
1785367042,15.93,13.97
1785367047,15.93,14.27
1785367052,15.93,14.27
1785367057,15.96,13.97
1785367062,15.93,14.27
1785367067,15.96,14.09
1785367072,15.93,14.09
1785367077,15.93,13.97
1785367082,15.93,14.34
1785367087,15.93,13.97
1785367092,15.93,14.27
1785367097,15.93,14.09
1785367102,15.93,14.09
1785367108,15.93,14.09
1785367113,15.93,14.09
1785367118,15.93,14.09
1785367123,15.93,14.09
1785367128,15.93,14.09
1785367133,15.93,14.09
1785367138,15.93,14.09
1785367143,15.93,14.09
1785367148,15.93,14.09
1785367153,15.93,14.14
1785367158,15.99,14.20
1785367163,15.94,14.09
1785367169,15.99,14.20
1785367174,15.99,14.08
1785367179,15.99,14.08
1785367184,15.95,13.97
1785367189,15.93,14.28
1785367194,15.93,13.97
1785367199,15.93,14.14
1785367204,15.93,14.09
1785367209,15.93,14.09
1785367214,15.93,14.09
1785367219,15.92,14.09
1785367224,15.92,14.09
1785367230,15.92,14.09
1785367235,15.93,14.09
1785367240,15.93,14.09
1785367245,15.93,14.09
1785367250,15.93,14.09
1785367255,15.93,14.09
1785367260,15.93,14.14
1785367265,15.93,14.27
1785367270,15.93,14.20
1785367275,15.93,14.09
1785367280,15.93,13.97
1785367285,15.93,14.22
1785367291,15.93,13.97
1785367296,15.93,14.14
1785367301,15.93,14.03
1785367306,15.92,14.27
1785367311,15.92,14.09
1785367316,15.92,14.09
1785367321,15.92,14.09
1785367326,15.92,14.09
1785367331,15.92,14.09
1785367336,15.92,14.09
1785367341,15.92,14.09
1785367346,15.92,14.09
1785367352,15.92,14.09
1785367357,15.92,14.09
1785367362,15.92,14.09
1785367367,15.94,14.20
1785367372,15.93,14.27
1785367377,15.94,13.97
1785367382,15.93,14.27
1785367387,15.93,13.97
1785367392,15.93,14.09
1785367397,15.94,13.97
1785367402,15.93,14.27
1785367407,15.93,14.18
1785367413,15.92,14.09
1785367418,15.93,14.09
1785367423,15.92,14.09
1785367428,15.92,14.09
1785367433,15.92,14.09
1785367438,15.92,14.09
1785367443,15.92,14.09
1785367448,15.92,14.09
1785367453,15.92,14.09
1785367458,15.92,14.09
1785367463,15.92,14.09
1785367468,15.92,14.09
1785367474,15.95,13.97
1785367479,15.92,14.14
1785367484,15.92,14.27
1785367489,15.92,14.27
1785367494,15.92,14.27
1785367499,15.93,14.09
1785367504,15.93,14.09
1785367509,15.93,13.97
1785367514,15.93,14.27
1785367519,15.96,13.97
1785367524,15.93,14.09
1785367529,15.93,14.20
1785367535,15.92,14.09
1785367540,15.92,14.09
1785367545,15.92,14.09
1785367550,15.92,14.09
1785367555,15.92,14.09
1785367560,15.92,14.09
1785367565,15.93,14.09
1785367570,15.92,14.09
1785367575,15.92,14.09
1785367580,15.92,14.09
1785367585,15.93,13.97
1785367590,15.93,14.15
1785367596,15.93,14.09
