generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.62939453125,kl,,10.1796875,11.3515625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""d11f872bfc15c61877d7bb226ac6fb1948dcdffc1b2432d60613c3abb60b28a8"",""parent_after_generation_hash"":""f9b3470b4ad4bf4fcf8d23636fe7aa87f0811afda9018cdd8f3e597d198c563e"",""generated_offspring_by_type"":{""depth"":5,""quantization"":11,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":14,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":22,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":14,""quant_assignments_changed_total"":22,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":17,""no_op_mutations"":0,""duplicate_candidates"":1,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,97.74173635384068,14280.6416015625
2,0.6220703125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""f9b3470b4ad4bf4fcf8d23636fe7aa87f0811afda9018cdd8f3e597d198c563e"",""parent_after_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""generated_offspring_by_type"":{""depth"":5,""quantization"":11,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":16,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":22,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":16,""quant_assignments_changed_total"":22,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":17,""no_op_mutations"":0,""duplicate_candidates"":1,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,109.66146634100005,14280.6416015625
3,0.61962890625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""parent_after_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""generated_offspring_by_type"":{""depth"":7,""quantization"":9,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":20,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":2,""quantization"":18,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":20,""quant_assignments_changed_total"":20,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,120.89951896388084,14280.6416015625
4,0.619140625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""parent_after_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""generated_offspring_by_type"":{""depth"":9,""quantization"":7,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":28,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":1,""quantization"":14,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":28,""quant_assignments_changed_total"":15,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":17,""no_op_mutations"":0,""duplicate_candidates"":1,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":2}",parent,False,131.96815074887127,14280.6416015625
5,0.61962890625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""78387ee2a54229d03a40164197c6e25d9acf5b7ace03dfd576fc8b76050a36d0"",""parent_after_generation_hash"":""bc3baedf9a6ca3721c25aa946274c4c2413ca5393d1b4c271698ac4ed8995dbd"",""generated_offspring_by_type"":{""depth"":9,""quantization"":7,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":28,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":4,""quantization"":14,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":28,""quant_assignments_changed_total"":18,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,143.8529455899261,14280.6416015625
6,0.61962890625,kl,,10.140625,11.3515625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""bc3baedf9a6ca3721c25aa946274c4c2413ca5393d1b4c271698ac4ed8995dbd"",""parent_after_generation_hash"":""b86111ea5d58ebb916431e8b97fdf107c6892e0f44f17dc9485db4ca08e0800f"",""generated_offspring_by_type"":{""depth"":8,""quantization"":8,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":22,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":2,""quantization"":16,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":22,""quant_assignments_changed_total"":18,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,207.0942824529484,14280.6416015625
7,0.619140625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""b86111ea5d58ebb916431e8b97fdf107c6892e0f44f17dc9485db4ca08e0800f"",""parent_after_generation_hash"":""c4cdaee05881407c28553829f526a372e402e4fe8e2691e346f0bcdf7cf37396"",""generated_offspring_by_type"":{""depth"":9,""quantization"":7,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":26,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":3,""quantization"":14,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":26,""quant_assignments_changed_total"":17,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,218.4442666019313,14280.6416015625
8,0.6181640625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""c4cdaee05881407c28553829f526a372e402e4fe8e2691e346f0bcdf7cf37396"",""parent_after_generation_hash"":""7a6fffa7575ec293db5c8dc504aae84d380a787f5b738d066f052149139528d5"",""generated_offspring_by_type"":{""depth"":9,""quantization"":7,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":26,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":2,""quantization"":14,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":26,""quant_assignments_changed_total"":16,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",depth,True,230.0487374579534,14280.6416015625
9,0.6123046875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""7a6fffa7575ec293db5c8dc504aae84d380a787f5b738d066f052149139528d5"",""parent_after_generation_hash"":""fe2f5ea8660c2b90f237867d1f8a4e4776f519befb90f6ed867bad89bcdef44a"",""generated_offspring_by_type"":{""depth"":9,""quantization"":7,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":26,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":4,""quantization"":14,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":26,""quant_assignments_changed_total"":18,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",quantization,True,241.78351133083925,14280.6416015625
10,0.61083984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""mixed_depth_quantization"",""sequential_mode"":""depth_to_joint_warm"",""joint_mutation_mode"":""standard"",""parent_before_generation_hash"":""fe2f5ea8660c2b90f237867d1f8a4e4776f519befb90f6ed867bad89bcdef44a"",""parent_after_generation_hash"":""fe2f5ea8660c2b90f237867d1f8a4e4776f519befb90f6ed867bad89bcdef44a"",""generated_offspring_by_type"":{""depth"":7,""quantization"":9,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":26,""quantization"":0,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":2,""quantization"":18,""joint_aware"":0,""interaction_aware"":0,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":26,""quant_assignments_changed_total"":20,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":0,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,253.56757181882858,14280.6416015625
