unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781526720,3.99,0.00
1781526725,4.52,0.00
1781526730,6.16,13.56
1781526735,8.61,13.56
1781526740,11.71,13.56
1781526745,14.73,13.56
1781526750,16.00,13.56
1781526755,16.00,13.89
1781526760,16.00,13.89
1781526765,15.76,13.89
1781526770,15.37,13.89
1781526775,15.99,14.08
1781526780,15.97,13.95
1781526785,15.97,14.15
1781526790,15.97,14.15
1781526796,15.97,14.15
1781526801,15.97,14.15
1781526806,15.97,14.15
1781526811,15.97,14.15
1781526816,15.97,14.15
1781526821,15.97,14.15
1781526826,15.97,14.15
1781526831,15.97,14.15
1781526836,15.98,13.93
1781526841,15.94,14.27
1781526846,15.98,14.12
1781526851,15.97,13.97
1781526856,16.00,14.20
1781526861,15.97,13.97
1781526866,15.95,14.09
1781526871,15.94,14.27
1781526876,15.97,13.97
1781526881,15.94,14.27
1781526886,15.97,13.97
1781526891,15.95,14.09
1781526896,15.94,14.27
1781526901,15.94,14.09
1781526906,15.94,14.09
1781526911,15.94,14.09
1781526916,15.94,14.09
1781526921,15.94,14.09
1781526926,15.94,14.09
1781526932,15.94,14.09
1781526937,15.94,14.09
1781526942,15.94,14.09
1781526947,15.94,14.09
1781526952,15.96,13.97
1781526957,15.94,14.14
1781526962,15.94,14.27
1781526967,15.94,14.14
1781526972,15.94,14.20
1781526977,15.94,14.14
1781526982,15.94,14.27
1781526987,15.97,13.97
1781526992,15.94,14.14
1781526997,15.94,14.27
1781527002,15.96,13.97
1781527007,15.92,14.27
1781527012,15.92,14.09
1781527017,15.92,14.09
1781527022,15.92,14.09
1781527028,15.92,14.09
1781527033,15.92,14.09
1781527038,15.92,14.09
1781527043,15.92,14.09
1781527048,15.92,14.09
1781527053,15.92,14.09
1781527058,15.92,14.09
1781527063,15.92,13.97
1781527068,15.94,14.27
1781527073,15.94,14.09
1781527078,15.94,14.27
1781527083,15.94,14.18
1781527089,15.97,13.97
1781527094,15.94,14.09
1781527099,15.96,13.97
1781527104,15.94,14.03
1781527109,15.92,14.27
1781527114,15.96,14.20
1781527119,15.92,14.14
1781527124,15.92,14.09
1781527129,15.92,14.09
1781527134,15.92,14.09
1781527139,15.92,14.09
1781527144,15.92,14.09
1781527150,15.92,14.09
1781527155,15.92,14.09
1781527160,15.92,14.09
1781527165,15.92,14.09
1781527170,15.92,14.09
1781527175,15.93,13.97
1781527180,15.94,14.14
1781527185,15.94,14.27
1781527190,15.96,13.97
1781527195,15.94,14.09
1781527200,15.95,13.97
1781527205,15.92,14.08
1781527211,15.92,14.14
1781527216,15.99,13.97
1781527221,15.92,14.03
1781527226,15.95,13.97
1781527231,15.92,14.27
1781527236,15.92,14.15
1781527241,15.92,14.09
1781527246,15.92,14.09
1781527251,15.92,14.09
1781527256,15.92,14.09
1781527261,15.92,14.09
1781527266,15.92,14.09
1781527272,15.92,14.09
1781527277,15.92,14.09
1781527282,15.92,14.09
1781527287,15.92,14.09
1781527292,15.92,13.97
1781527297,15.92,14.27
1781527302,15.95,13.97
1781527307,15.95,13.97
1781527312,15.93,14.27
1781527317,15.93,14.09
1781527322,15.93,14.14
1781527327,15.93,13.97
1781527333,15.93,14.14
1781527338,15.99,14.20
1781527343,15.93,14.14
1781527348,15.95,14.20
1781527353,15.93,14.09
1781527358,15.93,14.09
1781527363,15.93,14.09
1781527368,15.93,14.09
1781527373,15.93,14.09
1781527378,15.93,14.09
1781527383,15.93,14.09
1781527388,15.93,14.09
1781527394,15.93,14.09
1781527399,15.93,14.09
1781527404,15.93,13.97
1781527409,15.93,14.14
1781527414,15.93,13.97
1781527419,15.94,14.14
1781527424,15.94,14.24
1781527429,15.94,14.34
1781527434,15.94,14.27
1781527439,15.97,13.97
1781527444,15.97,13.97
1781527449,15.92,14.15
1781527455,15.94,14.09
1781527460,15.99,14.09
1781527465,15.92,14.09
1781527470,15.92,14.09
1781527475,15.92,14.09
1781527480,15.92,14.09
1781527485,15.92,14.09
1781527490,15.92,14.09
1781527495,15.92,14.09
1781527500,15.92,14.09
1781527505,15.92,14.09
1781527510,15.92,14.09
1781527516,15.92,13.97
1781527521,15.92,14.09
1781527526,15.92,14.27
1781527531,15.95,14.09
1781527536,15.92,14.16
1781527541,15.95,13.97
1781527546,15.92,14.14
