generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,selected_parent_mutation_type,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.216796875,kl,,22.359375,23.125,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""2c7588183f3495b539ffa0ff630c38b8a9e160d09e7acb059ff18e5fe074d820"",""parent_after_generation_hash"":""49030f48da81590f7f6381135840ae6156d9f08603475257e9bd9c373cc9842d"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":46,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":32,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":46,""quant_assignments_changed_total"":32,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,106.16497242823243,14280.6416015625
2,1.125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""49030f48da81590f7f6381135840ae6156d9f08603475257e9bd9c373cc9842d"",""parent_after_generation_hash"":""db8c09cdcccb7a0b5dfabf2021007491c50fde6f4aa8a91153e5304e1a28c6cf"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":44,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":32,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":44,""quant_assignments_changed_total"":32,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,119.62041459186003,14280.6416015625
3,1.0322265625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""db8c09cdcccb7a0b5dfabf2021007491c50fde6f4aa8a91153e5304e1a28c6cf"",""parent_after_generation_hash"":""edecf91fa3559646b843bf77effc51f928a0e6efcf27b3efbf1dfb370c2576eb"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":50,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":34,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":50,""quant_assignments_changed_total"":34,""interaction_aware_details"":{""budget_repair_quant_changes"":2,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,132.4023634530604,14280.6416015625
4,0.98291015625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""edecf91fa3559646b843bf77effc51f928a0e6efcf27b3efbf1dfb370c2576eb"",""parent_after_generation_hash"":""edecf91fa3559646b843bf77effc51f928a0e6efcf27b3efbf1dfb370c2576eb"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":54,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":36,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":54,""quant_assignments_changed_total"":36,""interaction_aware_details"":{""budget_repair_quant_changes"":4,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,145.35403982410207,14280.6416015625
5,0.9833984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""edecf91fa3559646b843bf77effc51f928a0e6efcf27b3efbf1dfb370c2576eb"",""parent_after_generation_hash"":""f71c5817ab22c219a8e5a816afb59a44247f4e4564ebec348fda5ff1fc6a6912"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":54,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":35,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":54,""quant_assignments_changed_total"":35,""interaction_aware_details"":{""budget_repair_quant_changes"":5,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,158.41233434295282,14280.6416015625
6,0.935546875,kl,,15.3984375,15.1640625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""f71c5817ab22c219a8e5a816afb59a44247f4e4564ebec348fda5ff1fc6a6912"",""parent_after_generation_hash"":""efe83c9d039aeb34165932bdb685705a62ff211db6cc2b04296a246051377a84"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":40,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":36,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":40,""quant_assignments_changed_total"":36,""interaction_aware_details"":{""budget_repair_quant_changes"":4,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,223.67600603029132,14280.6416015625
7,0.8701171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""efe83c9d039aeb34165932bdb685705a62ff211db6cc2b04296a246051377a84"",""parent_after_generation_hash"":""dc17fb40473467597f945d64ecd8bbb8787df122e4bf00903e0cd750495909c2"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":54,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":37,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":54,""quant_assignments_changed_total"":37,""interaction_aware_details"":{""budget_repair_quant_changes"":7,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,235.95453325798735,14280.6416015625
8,0.8349609375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""dc17fb40473467597f945d64ecd8bbb8787df122e4bf00903e0cd750495909c2"",""parent_after_generation_hash"":""dc17fb40473467597f945d64ecd8bbb8787df122e4bf00903e0cd750495909c2"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":42,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":32,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":42,""quant_assignments_changed_total"":32,""interaction_aware_details"":{""budget_repair_quant_changes"":0,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":1}",parent,False,247.96910778805614,14280.6416015625
9,0.8349609375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""dc17fb40473467597f945d64ecd8bbb8787df122e4bf00903e0cd750495909c2"",""parent_after_generation_hash"":""5e71e43dc24316aedcd09e2a494f29c25b343fdcbb52996b8b09aa6a98713096"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":56,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":38,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":56,""quant_assignments_changed_total"":38,""interaction_aware_details"":{""budget_repair_quant_changes"":8,""preferred_quant_exchanges_used"":16,""fallback_quant_exchanges_used"":0},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,260.78907683026046,14280.6416015625
10,0.8203125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""interaction_aware_depth_quantization"",""sequential_mode"":""none"",""joint_mutation_mode"":""interaction_aware"",""parent_before_generation_hash"":""5e71e43dc24316aedcd09e2a494f29c25b343fdcbb52996b8b09aa6a98713096"",""parent_after_generation_hash"":""027e1274ecac881de06e5511ec1cf05182710f4744ce51d6de2d5faae0f5f09f"",""generated_offspring_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":16,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":46,""sequential_quantization"":0,""fixed_quant_depth"":0},""quant_assignments_changed_by_type"":{""depth"":0,""quantization"":0,""joint_aware"":0,""interaction_aware"":40,""sequential_quantization"":0,""fixed_quant_depth"":0},""depth_mask_entries_changed_total"":46,""quant_assignments_changed_total"":40,""interaction_aware_details"":{""budget_repair_quant_changes"":8,""preferred_quant_exchanges_used"":15,""fallback_quant_exchanges_used"":1},""offspring_generation"":{""attempts"":16,""no_op_mutations"":0,""duplicate_candidates"":0,""infeasible_candidates"":0,""fixed_quant_legal_swap_counts"":[]},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""quantization_mutations_per_offspring"":1,""joint_aware_probability"":0.0,""adaptive_mutation"":false,""adaptive_mutation_strength"":1,""adaptive_mutation_patience"":3,""adaptive_mutation_max_strength"":3,""coarse_to_fine_mutation"":false,""coarse_to_fine_start_strength"":3,""coarse_to_fine_end_strength"":1,""stagnation_generations_after_selection"":0}",interaction_aware,True,273.3397453399375,14280.6416015625
