unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1785499968,14.05,0.00
1785499973,14.54,0.00
1785499978,15.91,13.56
1785499983,16.00,13.56
1785499988,15.99,13.89
1785499993,16.00,13.89
1785499998,15.99,13.89
1785500003,15.37,13.89
1785500008,16.00,14.08
1785500013,15.97,14.15
1785500018,15.97,14.15
1785500023,15.97,14.15
1785500028,15.97,14.15
1785500033,15.97,14.15
1785500038,15.97,14.15
1785500043,15.97,14.15
1785500048,15.97,14.15
1785500053,15.97,14.15
1785500058,15.97,14.15
1785500063,15.97,14.15
1785500068,15.98,13.93
1785500073,15.94,14.09
1785500078,15.99,14.09
1785500084,15.94,14.03
1785500089,15.94,14.14
1785500094,15.97,13.97
1785500099,15.94,14.27
1785500104,15.94,14.03
1785500109,15.99,13.97
1785500114,15.94,14.27
1785500119,15.97,13.97
1785500124,15.94,14.14
1785500129,15.94,14.09
1785500134,15.92,14.09
1785500139,15.92,14.09
1785500144,15.92,14.09
1785500149,15.92,14.09
1785500154,15.92,14.09
1785500159,15.92,14.09
1785500164,15.92,14.09
1785500169,15.92,14.09
1785500174,15.92,14.09
1785500179,15.92,14.09
1785500184,15.93,13.97
1785500189,15.94,14.27
1785500194,15.94,14.03
1785500199,15.95,13.97
1785500204,15.94,14.27
1785500210,15.94,14.27
1785500215,15.94,14.09
1785500220,15.93,14.27
1785500225,15.93,13.97
1785500230,15.96,14.08
1785500235,15.93,14.27
1785500240,16.00,14.20
1785500245,16.00,14.09
1785500250,15.92,14.09
1785500255,15.92,14.09
1785500260,15.92,14.09
1785500265,15.92,14.09
1785500270,15.92,14.09
1785500275,15.92,14.09
1785500280,15.92,14.09
1785500285,15.92,14.09
1785500291,15.92,14.09
1785500296,15.92,14.09
1785500301,15.92,13.97
1785500306,15.96,14.09
1785500311,15.99,14.18
1785500316,15.93,14.14
1785500321,15.93,14.27
1785500326,15.96,13.97
1785500331,15.93,14.14
1785500336,15.95,14.20
1785500341,15.93,14.14
1785500347,15.93,14.09
1785500352,15.95,13.97
1785500357,15.93,14.15
1785500362,15.92,14.27
1785500367,15.92,14.09
1785500372,15.92,14.09
1785500377,15.92,14.09
1785500382,15.92,14.09
1785500387,15.92,14.09
1785500392,15.92,14.09
1785500397,15.92,14.09
1785500403,15.92,14.09
1785500408,15.92,14.09
1785500413,15.92,14.09
1785500418,15.93,13.97
1785500423,15.93,14.27
1785500428,15.93,13.97
1785500433,15.99,14.05
1785500438,15.94,14.09
1785500443,15.93,14.27
1785500449,15.93,14.27
1785500454,15.93,13.97
1785500459,15.93,14.14
1785500464,15.93,14.27
1785500469,15.93,14.22
1785500474,15.93,14.27
1785500479,15.93,14.09
1785500484,15.93,14.09
1785500489,15.93,14.09
1785500494,15.93,14.09
1785500499,15.93,14.09
1785500505,15.93,14.09
1785500510,15.93,14.09
1785500515,15.93,14.09
1785500520,15.93,14.09
1785500525,15.93,14.09
1785500530,15.93,13.97
