run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,1,1.2168e+00,23.12,22.36,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,2,1.3115e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,3,1.1836e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,4,1.0742e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""none"",""none"",""none"",""attn+mlp"",""mlp"",""attn"",""none"",""none"",""attn"",""mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,5,1.0469e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""mlp"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,6,1.0479e+00,16.69,16.98,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""attn"",""none"",""mlp"",""none"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,7,9.4043e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,8,9.4092e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,9,9.4043e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""mlp"",""mlp"",""none"",""none"",""attn"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,10,8.9258e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn"",""attn+mlp"",""none"",""attn+mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""mlp""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,3,4,3,3,2,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,11,8.2324e-01,13.12,13.64,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn+mlp"",""attn+mlp"",""none"",""attn+mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,3,4,3,3,2,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed0,generation,12,8.2275e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""none"",""none"",""mlp"",""attn"",""none"",""mlp"",""none"",""attn"",""none"",""none"",""attn+mlp"",""attn+mlp"",""none"",""attn+mlp"",""mlp"",""none"",""none"",""none"",""none"",""attn"",""none""]","[[3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,3,4,3,3,2,3,3,3]]"
