unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781476416,14.25,0.00
1781476421,14.75,0.00
1781476426,16.00,13.61
1781476431,16.00,13.61
1781476436,16.00,13.61
1781476441,16.00,13.94
1781476446,15.76,13.94
1781476451,16.00,13.94
1781476456,15.82,13.94
1781476461,15.37,13.94
1781476466,15.97,14.13
1781476471,15.98,14.20
1781476476,15.98,14.20
1781476481,15.98,14.20
1781476486,15.98,14.20
1781476491,15.98,14.20
1781476496,15.98,14.20
1781476501,15.98,14.20
1781476506,15.98,14.20
1781476511,15.98,14.20
1781476516,15.98,14.20
1781476521,15.98,14.20
1781476526,15.98,14.20
1781476531,15.98,14.20
1781476536,15.98,13.98
1781476541,15.94,14.32
1781476546,15.94,14.32
1781476552,15.94,14.20
1781476557,15.94,14.32
1781476562,15.97,13.99
1781476567,15.95,14.11
1781476572,15.94,14.19
1781476577,16.00,14.02
1781476582,15.94,14.19
1781476587,15.94,14.25
1781476592,15.94,14.32
1781476597,15.94,14.25
1781476602,15.94,14.14
1781476607,15.94,14.14
1781476612,15.94,14.14
1781476617,15.94,14.14
1781476622,15.94,14.14
1781476627,15.94,14.14
1781476632,15.94,14.14
1781476637,15.94,14.14
1781476642,15.94,14.14
1781476647,15.94,14.14
1781476652,15.94,14.14
1781476657,15.94,14.14
1781476662,15.94,14.14
1781476667,15.94,14.19
1781476672,15.94,14.25
1781476677,15.94,14.02
1781476682,15.94,14.19
1781476687,15.94,14.20
1781476692,16.00,14.02
1781476697,15.94,14.32
1781476702,15.94,14.25
1781476707,15.94,14.32
1781476712,15.94,14.19
1781476717,15.97,14.02
1781476722,15.94,14.08
1781476727,15.92,14.32
1781476732,15.92,14.14
1781476738,15.92,14.14
1781476743,15.92,14.14
1781476748,15.92,14.14
1781476753,15.92,14.14
1781476758,15.92,14.14
1781476763,15.92,14.14
1781476768,15.92,14.14
1781476773,15.92,14.14
1781476778,15.92,14.14
1781476783,15.92,14.14
1781476788,15.92,14.14
1781476793,15.92,14.02
1781476798,15.92,14.19
1781476803,15.92,14.32
1781476808,15.94,14.32
1781476813,15.94,14.08
1781476818,15.96,14.02
1781476823,15.97,14.02
1781476828,15.92,14.32
1781476833,15.92,14.19
1781476838,15.92,14.32
1781476843,15.95,14.02
1781476848,15.92,14.32
1781476853,15.92,14.32
1781476858,15.92,14.14
1781476863,15.92,14.14
1781476868,15.92,14.14
1781476873,15.92,14.14
1781476878,15.92,14.14
1781476883,15.92,14.14
1781476888,15.92,14.14
1781476893,15.92,14.14
1781476898,15.92,14.14
1781476903,15.92,14.14
1781476908,15.92,14.14
1781476913,15.92,14.14
1781476918,15.97,14.02
1781476924,15.94,14.32
1781476929,15.94,14.19
1781476934,15.94,14.19
1781476939,15.94,14.32
1781476944,15.94,14.02
1781476949,15.94,14.32
1781476954,15.94,14.32
1781476959,15.97,14.02
1781476964,15.94,14.19
1781476969,15.94,14.25
1781476974,15.94,14.32
1781476979,15.94,14.32
1781476984,15.94,14.14
1781476989,15.94,14.14
1781476994,15.94,14.14
1781476999,15.94,14.14
1781477004,15.94,14.14
1781477009,15.94,14.14
1781477014,15.94,14.14
1781477019,15.94,14.14
1781477024,15.94,14.14
1781477029,15.94,14.14
1781477034,15.94,14.14
1781477039,15.94,14.14
1781477044,15.94,14.14
1781477049,15.94,14.19
1781477054,15.96,14.25
1781477059,15.94,14.02
1781477064,15.94,14.32
1781477069,15.94,14.14
1781477074,15.95,14.02
1781477079,15.93,14.32
1781477084,15.93,14.32
1781477089,15.99,14.25
1781477094,15.93,14.25
1781477099,15.93,14.02
1781477105,15.93,14.32
1781477110,15.93,14.25
1781477115,15.93,14.14
1781477120,15.93,14.14
1781477125,15.93,14.14
1781477130,15.93,14.14
1781477135,15.93,14.14
1781477140,15.93,14.14
1781477145,15.93,14.14
1781477150,15.93,14.14
1781477155,15.93,14.14
1781477160,15.93,14.14
1781477165,15.93,14.14
1781477170,15.93,14.14
1781477175,15.93,14.02
1781477180,15.93,14.14
1781477185,15.93,14.32
1781477190,15.99,14.14
1781477195,15.92,14.08
1781477200,15.92,14.02
1781477205,15.92,14.19
1781477210,15.92,14.32
1781477215,15.95,14.02
1781477220,15.95,14.14
1781477225,15.92,14.32
1781477230,15.92,14.19
1781477235,15.92,14.19
1781477240,15.92,14.14
1781477245,15.92,14.14
1781477250,15.92,14.14
1781477255,15.92,14.14
1781477260,15.92,14.14
1781477265,15.92,14.14
1781477270,15.92,14.14
1781477275,15.92,14.14
1781477280,15.92,14.14
1781477285,15.92,14.14
1781477291,15.92,14.14
1781477296,15.92,14.14
1781477301,15.92,14.14
1781477306,15.94,14.14
1781477311,15.92,14.32
1781477316,15.99,14.02
1781477321,15.95,14.14
1781477326,15.94,14.25
1781477331,15.94,14.02
1781477336,15.94,14.14
1781477341,15.94,14.32
1781477346,15.94,14.32
1781477351,15.94,14.32
1781477356,15.94,14.02
1781477361,16.00,14.02
1781477366,15.93,14.32
1781477371,15.93,14.14
1781477376,15.93,14.14
1781477381,15.93,14.14
1781477386,15.93,14.14
1781477391,15.93,14.14
1781477396,15.93,14.14
1781477401,15.93,14.14
1781477406,15.93,14.14
1781477411,15.93,14.14
1781477416,15.93,14.14
1781477421,15.93,14.14
1781477426,15.93,14.14
1781477431,15.97,14.02
1781477436,15.96,14.02
1781477441,15.93,14.32
1781477446,15.96,14.02
1781477451,15.94,14.08
1781477456,15.93,14.25
1781477461,15.93,14.19
1781477466,15.93,14.32
1781477471,15.94,14.02
1781477477,15.93,14.19
1781477482,15.93,14.14
1781477487,15.98,14.02
1781477492,15.92,14.32
1781477497,15.92,14.14
1781477502,15.92,14.14
1781477507,15.92,14.14
1781477512,15.92,14.14
1781477517,15.92,14.14
1781477522,15.92,14.14
1781477527,15.92,14.14
1781477532,15.92,14.14
1781477537,15.92,14.14
1781477542,15.92,14.14
1781477547,15.92,14.14
1781477552,15.92,14.14
1781477557,15.92,14.14
1781477562,15.93,14.02
1781477567,15.92,14.32
1781477572,15.95,14.02
1781477577,15.95,14.14
1781477582,15.92,14.32
1781477587,15.94,14.02
1781477592,15.92,14.14
1781477597,15.96,14.14
1781477602,15.92,14.32
1781477607,15.92,14.32
1781477612,15.95,14.02
1781477617,15.92,14.25
1781477622,15.92,14.25
1781477627,15.92,14.14
1781477632,15.92,14.14
1781477637,15.92,14.14
1781477642,15.92,14.14
1781477647,15.92,14.14
1781477652,15.92,14.14
1781477657,15.92,14.14
1781477663,15.92,14.14
1781477668,15.92,14.14
1781477673,15.92,14.14
1781477678,15.92,14.14
1781477683,15.92,14.14
1781477688,15.92,14.02
1781477693,15.92,14.13
1781477698,15.92,14.32
1781477703,15.95,14.02
1781477708,15.92,14.14
1781477713,15.92,14.32
1781477718,15.92,14.19
1781477723,15.92,14.32
1781477728,15.92,14.02
1781477733,15.92,14.39
1781477738,15.95,14.25
1781477743,15.92,14.32
1781477748,15.92,14.32
1781477753,15.93,14.14
1781477758,15.93,14.14
1781477763,15.93,14.14
1781477768,15.93,14.14
1781477773,15.93,14.14
1781477778,15.93,14.14
1781477783,15.93,14.14
1781477788,15.93,14.14
1781477793,15.93,14.14
1781477798,15.93,14.14
1781477803,15.93,14.14
1781477808,15.93,14.14
1781477813,15.93,14.14
