generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.396484375,kl,,25.546875,27.03125,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,123.0000668168068,14280.6416015625
2,1.26171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":7,""quantization"":1,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,136.0494918935001,14280.6416015625
3,1.12109375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,149.95786260440946,14280.6416015625
4,1.0673828125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,163.72556211426854,14280.6416015625
5,0.986328125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":7,""joint_aware"":4},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,177.04243986681104,14280.6416015625
6,0.95458984375,kl,,13.8046875,15.015625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":5,""joint_aware"":6},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,252.20955727621913,14280.6416015625
7,0.94921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,265.80630293115973,14280.6416015625
8,0.9208984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":4,""joint_aware"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,278.63695690222085,14280.6416015625
9,0.9169921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":2,""quantization"":5,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,292.6750774141401,14280.6416015625
10,0.91650390625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,306.35860984027386,14280.6416015625
