generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.396484375,kl,,25.546875,27.03125,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":3,""quantization"":5,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,209.0838388465345,14280.6416015625
2,1.26171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":7,""quantization"":1,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,228.95439549908042,14280.6416015625
3,1.12109375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,249.89576785452664,14280.6416015625
4,1.0673828125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,270.7808675095439,14280.6416015625
5,0.986328125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":7,""joint_aware"":4},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,294.5368459727615,14280.6416015625
6,0.95458984375,kl,,13.8046875,15.015625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":5,""joint_aware"":6},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,448.54455240257084,14280.6416015625
7,0.94921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":4,""joint_aware"":8},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,469.68447185494006,14280.6416015625
8,0.9208984375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":5,""quantization"":4,""joint_aware"":7},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,489.8565401826054,14280.6416015625
9,0.9169921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":2,""quantization"":5,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,511.8944627624005,14280.6416015625
10,0.91650390625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,3.0,9872.5078125,8,8,"{""type"":""joint_aware_depth_quantization"",""accepted_offspring_by_type"":{""depth"":4,""quantization"":3,""joint_aware"":9},""maximum_depth_mutations_per_offspring"":3,""quantization_step_size"":1,""joint_aware_probability"":0.5}",True,536.3628622144461,14280.6416015625
