run_id,phase,generation,train_fitness,wikitext2_ppl,train_ppl,quant_bit_average,dropped_attn_modules,dropped_mlp_modules,drop_config,quant_state
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,1,1.3965e+00,27.03,25.55,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""attn+mlp"",""attn"",""none"",""none"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""mlp"",""none"",""none"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none""]","[[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,2,1.2617e+00,,,3.0000e+00,8,8,"[""none"",""attn"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""none"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none""]","[[3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,3,1.1211e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""attn"",""attn+mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none""]","[[3,2,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,4,1.0674e+00,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""none"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none""]","[[3,2,3,3,3,4,3,3,3,3,3,2,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,5,9.8633e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""attn"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""none"",""none"",""none"",""mlp"",""none""]","[[3,2,3,3,3,4,3,4,3,3,3,2,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,6,9.5459e-01,15.02,13.80,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,2,3,3,2,4,4,4,3,3,3,2,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,2,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,7,9.4922e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""attn"",""none"",""mlp"",""mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,2,3,3,2,4,4,4,3,3,3,2,3,3,3,4,3,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,8,9.2090e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,2,2,3,2,4,4,4,2,3,3,2,3,3,3,4,3,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,9,9.1699e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,2,2,3,2,4,4,4,3,3,2,2,3,3,3,4,3,4,4,3,2,2,3,3,3,3,3,3,3,3,3,3]]"
thesis_jointaware_joint_mistral_s0.25_qproj3.0_g50_o16_seed2_retry1,generation,10,9.1650e-01,,,3.0000e+00,8,8,"[""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""none"",""mlp"",""attn+mlp"",""attn"",""none"",""attn"",""mlp"",""attn"",""mlp"",""none"",""attn"",""mlp"",""none"",""attn+mlp"",""none"",""none"",""none"",""attn+mlp"",""attn"",""none"",""none"",""mlp"",""none""]","[[3,3,2,3,2,4,4,4,3,3,2,2,3,3,3,4,3,4,4,3,2,2,3,3,2,3,3,3,3,3,3,3]]"
