unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781480024,15.65,14.02
1781480029,16.00,14.23
1781480034,16.00,27.80
1781480039,16.00,27.63
1781480044,16.00,27.75
1781480049,16.00,27.75
1781480054,15.93,28.25
1781480059,15.97,27.96
1781480064,16.00,28.19
1781480069,15.90,28.25
1781480074,15.41,28.21
1781480079,15.95,28.27
1781480084,15.97,28.09
1781480089,15.96,28.34
1781480094,15.96,28.34
1781480099,15.96,28.34
1781480104,15.96,28.34
1781480109,15.96,28.34
1781480114,15.96,28.34
1781480119,15.96,28.34
1781480124,15.96,28.34
1781480129,15.96,28.34
1781480134,15.96,28.34
1781480139,15.96,28.34
1781480144,15.96,28.34
1781480149,15.96,28.34
1781480154,15.96,28.34
1781480159,15.96,28.34
1781480165,15.96,28.34
1781480170,15.96,28.34
1781480175,15.96,28.34
1781480180,15.96,28.34
1781480185,15.96,28.34
1781480190,15.96,28.34
1781480195,15.96,28.34
1781480200,15.98,28.21
1781480205,15.97,28.21
1781480210,15.94,28.51
1781480215,15.94,28.51
1781480220,16.00,28.12
1781480225,15.91,28.21
1781480230,15.91,28.50
1781480235,15.88,28.50
1781480240,15.88,28.27
1781480245,15.94,28.14
1781480250,15.95,28.33
1781480255,15.88,28.50
1781480260,15.88,28.63
1781480265,15.91,28.30
1781480270,15.91,28.34
1781480275,15.93,28.36
1781480280,15.87,28.63
1781480285,15.88,28.30
1781480290,15.94,28.07
1781480295,15.88,28.51
1781480300,15.88,28.57
1781480305,15.89,28.30
1781480310,15.94,28.37
1781480315,15.94,28.31
1781480320,15.87,28.31
1781480325,15.88,28.40
1781480330,15.87,28.25
1781480335,15.87,28.25
1781480340,15.87,28.25
1781480346,15.87,28.25
1781480351,15.87,28.25
1781480356,15.87,28.25
1781480361,15.87,28.25
1781480366,15.87,28.25
1781480371,15.87,28.25
1781480376,15.87,28.25
1781480381,15.87,28.25
1781480386,15.87,28.25
1781480391,15.87,28.25
1781480396,15.87,28.25
1781480401,15.87,28.25
1781480406,15.87,28.25
1781480411,15.87,28.25
1781480416,15.87,28.25
1781480421,15.87,28.25
1781480426,15.88,28.25
1781480431,15.88,28.25
1781480436,15.87,28.25
1781480441,15.87,28.25
1781480446,15.87,28.25
1781480451,15.88,28.13
1781480456,15.91,28.25
1781480461,15.94,28.14
1781480466,15.88,28.38
1781480471,15.88,28.21
1781480476,15.88,28.51
1781480481,15.95,28.17
1781480486,15.88,28.50
1781480491,15.88,28.15
1781480496,15.90,28.45
1781480501,15.88,28.21
1781480506,15.87,28.57
1781480511,15.88,28.44
1781480516,15.88,28.33
1781480521,15.88,28.33
1781480526,15.92,28.15
1781480531,15.88,28.45
1781480537,15.88,28.33
1781480542,15.88,28.50
1781480547,15.88,28.33
1781480552,15.88,28.45
1781480557,15.88,28.28
1781480562,15.87,28.46
1781480567,15.87,28.46
1781480572,15.87,28.29
1781480577,15.87,28.29
1781480582,15.87,28.29
1781480587,15.87,28.29
1781480592,15.87,28.29
1781480597,15.87,28.29
1781480602,15.87,28.29
1781480607,15.87,28.29
1781480612,15.87,28.29
1781480617,15.87,28.29
1781480622,15.87,28.29
1781480627,15.87,28.29
1781480632,15.87,28.29
1781480637,15.87,28.29
1781480642,15.87,28.29
1781480647,15.87,28.29
1781480652,15.87,28.29
1781480657,15.87,28.29
1781480662,15.87,28.29
1781480667,15.88,28.29
1781480672,15.87,28.29
1781480677,15.87,28.29
1781480682,15.87,28.29
1781480687,15.87,28.29
1781480692,15.88,28.16
1781480697,15.88,28.33
1781480702,15.91,28.33
1781480707,15.88,28.50
1781480712,15.90,28.33
1781480717,15.88,28.57
1781480722,15.88,28.63
1781480728,15.88,28.33
1781480733,15.88,28.63
1781480738,15.88,28.03
1781480743,15.87,28.63
1781480748,15.97,28.16
1781480753,15.88,28.63
1781480758,15.88,28.33
1781480763,16.00,28.28
1781480768,15.86,28.33
1781480773,15.86,28.33
1781480778,15.86,28.21
1781480783,15.86,28.63
1781480788,15.88,28.33
1781480793,15.86,28.63
1781480798,15.86,28.28
1781480803,15.86,28.39
1781480808,15.86,28.22
1781480813,15.86,28.29
1781480818,15.86,28.29
1781480823,15.86,28.29
1781480828,15.86,28.29
1781480833,15.86,28.29
1781480838,15.86,28.29
1781480843,15.86,28.29
1781480848,15.86,28.29
1781480853,15.86,28.29
1781480858,15.86,28.29
1781480863,15.86,28.29
1781480868,15.86,28.29
1781480873,15.86,28.29
1781480878,15.86,28.29
1781480883,15.86,28.29
1781480888,15.86,28.29
1781480893,15.86,28.29
1781480898,15.86,28.29
1781480903,15.86,28.29
1781480908,15.86,28.29
1781480914,15.86,28.29
1781480919,15.86,28.29
1781480924,15.86,28.29
1781480929,15.86,28.29
1781480934,15.86,28.16
1781480939,15.86,28.39
1781480944,15.86,28.33
1781480949,15.92,28.03
1781480954,15.86,28.63
1781480959,15.86,28.33
1781480964,15.86,28.39
1781480969,15.86,28.27
1781480974,15.86,28.63
1781480979,15.86,28.33
1781480984,15.86,28.50
1781480989,15.93,28.18
1781480994,15.86,28.57
1781480999,15.89,28.15
1781481004,15.93,28.44
1781481009,15.87,28.15
1781481014,15.86,28.57
1781481019,15.86,28.14
1781481024,15.86,28.45
1781481029,15.90,28.20
1781481034,15.86,28.63
1781481039,15.86,28.63
1781481044,15.86,28.39
1781481049,15.87,28.28
1781481054,15.86,28.29
1781481059,15.86,28.29
1781481064,15.86,28.29
1781481069,15.86,28.29
1781481074,15.86,28.29
1781481079,15.86,28.29
1781481084,15.86,28.29
1781481089,15.86,28.29
1781481094,15.86,28.29
1781481100,15.86,28.29
1781481105,15.86,28.29
1781481110,15.86,28.29
1781481115,15.86,28.29
1781481120,15.86,28.29
1781481125,15.86,28.29
1781481130,15.86,28.29
1781481135,15.86,28.29
1781481140,15.86,28.29
1781481145,15.86,28.29
1781481150,15.86,28.29
1781481155,15.86,28.29
1781481160,15.86,28.29
1781481165,15.86,28.29
1781481170,15.86,28.29
1781481175,15.86,28.29
1781481180,15.38,28.28
1781481185,14.18,14.02
1781481190,14.18,14.25
1781481195,14.18,14.08
1781481200,14.18,14.02
1781481205,14.18,14.19
1781481210,14.22,14.14
1781481215,14.18,14.25
1781481220,14.25,14.14
1781481225,14.18,14.02
1781481230,14.18,14.19
1781481235,14.18,14.32
1781481240,14.18,14.02
1781481245,14.18,14.19
1781481250,14.18,14.32
1781481255,14.18,14.14
1781481260,14.18,14.14
1781481265,14.18,14.14
1781481270,14.18,14.14
1781481275,14.18,14.14
1781481280,14.18,14.14
1781481285,14.18,14.14
1781481291,14.18,14.14
1781481296,14.18,14.14
1781481301,14.18,14.14
1781481306,14.18,14.14
1781481311,14.18,14.14
1781481316,14.19,14.02
1781481321,14.18,14.14
1781481326,14.18,14.32
1781481331,14.18,14.14
1781481336,14.19,14.14
1781481341,14.19,14.02
1781481346,14.18,14.32
1781481351,14.19,14.32
1781481356,14.19,14.02
1781481361,14.18,14.14
1781481366,14.18,14.32
1781481371,14.19,14.13
1781481376,14.19,14.32
1781481381,14.18,14.14
1781481386,14.18,14.14
1781481391,14.18,14.14
1781481396,14.18,14.14
1781481401,14.18,14.14
1781481406,14.18,14.14
1781481411,14.18,14.14
1781481416,14.18,14.14
1781481421,14.18,14.14
1781481426,14.18,14.14
1781481431,14.18,14.14
1781481436,14.18,14.14
1781481441,14.18,14.14
1781481446,14.19,14.32
1781481451,14.19,14.32
1781481456,14.19,14.02
1781481461,14.19,14.19
1781481466,14.19,14.32
1781481472,14.19,14.02
1781481477,14.25,14.25
1781481482,14.19,14.32
1781481487,14.19,14.02
1781481492,14.19,14.19
1781481497,14.19,14.14
1781481502,14.19,14.19
1781481507,14.19,14.14
1781481512,14.19,14.14
1781481517,14.18,14.14
1781481522,14.18,14.14
1781481527,14.19,14.14
1781481532,14.19,14.14
1781481537,14.19,14.14
1781481542,14.19,14.14
1781481547,14.18,14.14
1781481552,14.18,14.14
1781481557,14.18,14.14
1781481562,14.18,14.14
1781481567,14.19,14.14
1781481572,14.18,14.14
1781481577,14.19,14.14
1781481582,14.19,14.32
1781481587,14.19,14.02
1781481592,14.22,14.14
1781481597,14.19,14.32
1781481602,14.22,14.02
1781481607,14.19,14.14
1781481612,14.19,14.32
1781481617,14.19,14.19
1781481622,14.25,14.25
1781481627,14.21,14.02
1781481632,14.19,14.32
1781481637,14.19,14.25
1781481642,14.19,14.14
1781481647,14.19,14.14
1781481652,14.19,14.14
1781481658,14.19,14.14
1781481663,14.19,14.14
1781481668,14.19,14.14
1781481673,14.19,14.14
1781481678,14.19,14.14
1781481683,14.19,14.14
1781481688,14.19,14.14
1781481693,14.19,14.14
1781481698,14.19,14.14
1781481703,14.22,14.02
1781481708,14.25,14.23
1781481713,14.19,14.19
1781481718,14.20,14.02
1781481723,14.19,14.32
1781481728,14.19,14.32
1781481733,14.19,14.19
1781481738,14.19,14.13
1781481743,14.19,14.02
1781481748,14.19,14.19
1781481753,14.19,14.32
1781481758,14.20,14.02
1781481763,14.19,14.19
1781481768,14.19,14.32
1781481773,14.19,14.14
1781481778,14.19,14.14
1781481783,14.19,14.14
1781481788,14.19,14.14
1781481793,14.19,14.14
1781481798,14.19,14.14
1781481803,14.19,14.14
1781481808,14.19,14.14
1781481813,14.19,14.14
1781481818,14.19,14.14
1781481823,14.19,14.14
1781481828,14.19,14.14
1781481833,14.22,14.02
1781481838,14.19,14.32
1781481844,14.19,14.25
1781481849,14.19,14.14
1781481854,14.19,14.32
1781481859,14.19,14.02
1781481864,14.25,14.02
1781481869,14.25,14.14
1781481874,14.20,14.02
1781481879,14.19,14.32
1781481884,14.19,14.32
1781481889,14.19,14.32
1781481894,14.22,14.02
1781481899,14.19,14.14
1781481904,14.19,14.14
1781481909,14.19,14.14
1781481914,14.19,14.14
1781481919,14.19,14.14
1781481924,14.19,14.14
1781481929,14.19,14.14
1781481934,14.19,14.14
1781481939,14.19,14.14
1781481944,14.19,14.14
1781481949,14.19,14.14
1781481954,14.19,14.14
1781481959,14.19,14.14
