unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781443011,14.84,0.00
1781443016,15.30,0.00
1781443021,15.61,13.61
1781443026,15.62,13.61
1781443031,16.00,13.94
1781443036,16.00,13.94
1781443041,15.76,13.94
1781443047,15.37,13.94
1781443052,15.97,14.03
1781443057,15.98,14.20
1781443062,15.98,14.20
1781443067,15.98,14.20
1781443072,15.98,14.20
1781443077,15.98,14.20
1781443082,15.98,14.20
1781443087,15.98,14.20
1781443092,15.98,14.20
1781443097,15.98,14.20
1781443102,15.98,14.20
1781443107,15.98,14.20
1781443112,15.98,14.20
1781443117,15.97,14.03
1781443122,15.94,14.32
1781443127,15.94,14.03
1781443132,15.94,14.32
1781443137,15.94,14.00
1781443142,15.94,14.19
1781443147,15.94,14.25
1781443152,15.94,14.32
1781443157,16.00,14.14
1781443162,15.92,14.13
1781443167,15.92,14.32
1781443172,15.92,14.11
1781443177,15.92,14.11
1781443182,15.92,14.11
1781443187,15.92,14.11
1781443192,15.92,14.11
1781443197,15.92,14.11
1781443202,15.92,14.11
1781443207,15.92,14.11
1781443212,15.92,14.11
1781443217,15.92,14.11
1781443222,15.92,14.11
1781443227,15.92,14.11
1781443233,15.92,13.95
1781443238,15.92,14.25
1781443243,15.92,14.03
1781443248,15.92,14.19
1781443253,15.98,14.14
1781443258,15.92,14.32
1781443263,15.99,14.14
1781443268,15.92,14.19
1781443273,15.92,14.25
1781443278,15.92,14.32
1781443283,15.98,14.14
1781443288,15.92,14.11
1781443293,15.92,14.11
1781443298,15.92,14.11
1781443303,15.92,14.11
1781443308,15.92,14.11
1781443313,15.92,14.11
1781443318,15.92,14.11
1781443323,15.92,14.11
1781443328,15.92,14.11
1781443333,15.92,14.11
1781443338,15.92,14.11
1781443343,15.92,14.11
1781443348,15.92,14.03
1781443353,15.92,14.32
1781443358,15.92,14.03
1781443363,15.92,14.13
1781443368,15.92,14.08
1781443373,15.92,14.25
1781443378,15.92,14.32
1781443383,15.99,14.02
1781443388,15.92,14.19
1781443393,15.92,14.14
1781443398,15.92,14.32
1781443403,15.92,14.11
1781443408,15.92,14.11
1781443413,15.92,14.11
1781443418,15.92,14.11
1781443424,15.92,14.11
1781443429,15.92,14.11
1781443434,15.92,14.11
1781443439,15.92,14.11
1781443444,15.92,14.11
1781443449,15.92,14.11
1781443454,15.92,14.11
1781443459,15.92,14.11
1781443464,15.92,14.00
1781443469,15.92,14.32
1781443474,15.92,14.03
1781443479,15.92,14.19
1781443484,15.92,14.32
1781443489,15.99,14.14
1781443494,15.92,14.32
1781443499,15.92,14.32
1781443504,15.92,14.32
1781443509,15.92,14.19
1781443514,15.92,14.25
1781443519,15.92,14.11
1781443524,15.92,14.11
1781443529,15.92,14.11
1781443534,15.92,14.11
1781443539,15.92,14.11
1781443544,15.92,14.11
1781443549,15.92,14.11
1781443554,15.92,14.11
1781443559,15.92,14.11
1781443564,15.92,14.11
1781443569,15.92,14.11
1781443574,15.92,14.11
1781443579,15.92,14.13
