generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,1.224609375,kl,,20.890625,19.5,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,111.68021896481514,14280.6416015625
2,1.244140625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,122.33270869590342,14280.6416015625
3,1.099609375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,132.97869280539453,14280.6416015625
4,1.01953125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,143.63097944296896,14280.6416015625
5,0.9072265625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,154.4330664742738,14280.6416015625
6,0.89794921875,kl,,14.4140625,14.6640625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,227.07547140866518,14280.6416015625
7,0.84716796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",False,237.76042156852782,14280.6416015625
8,0.84765625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",True,248.41257455013692,14280.6416015625
9,0.74755859375,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",False,259.0590242408216,14280.6416015625
10,0.74853515625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",5503193088,,10496.5078125,8,8,"{""type"":""depth_level_switch"",""offspring_generated"":16,""maximum_mutations_per_offspring"":3}",False,269.7280993703753,14280.6416015625
