unix_time,cpu_memory_current_gb,gpu_memory_used_gb
1781448349,14.15,0.00
1781448354,14.65,0.00
1781448359,14.89,13.61
1781448364,16.00,13.61
1781448369,15.99,13.94
1781448374,16.00,13.94
1781448379,15.98,13.94
1781448384,15.48,13.94
1781448389,15.76,14.13
1781448394,15.97,14.03
1781448399,15.97,14.20
1781448404,15.98,14.20
1781448409,15.97,14.20
1781448414,15.98,14.20
1781448419,15.97,14.20
1781448424,15.98,14.20
1781448429,15.97,14.20
1781448434,15.97,14.20
1781448439,15.98,14.20
1781448444,15.98,14.20
1781448449,15.98,14.20
1781448454,15.98,14.20
1781448460,16.00,14.00
1781448465,15.94,14.26
1781448470,15.94,14.00
1781448475,15.94,14.32
1781448480,15.94,14.25
1781448485,16.00,14.10
1781448490,15.94,14.13
1781448495,15.96,14.02
1781448500,15.94,14.08
1781448505,15.94,14.32
1781448510,15.94,14.19
1781448515,15.94,14.32
1781448520,15.94,14.14
1781448525,15.94,14.14
1781448530,15.94,14.14
1781448535,15.94,14.14
1781448540,15.94,14.14
1781448545,15.94,14.14
1781448550,15.94,14.14
1781448555,15.94,14.14
1781448560,15.94,14.14
1781448565,15.94,14.14
1781448570,15.94,14.14
1781448575,15.94,14.14
1781448580,15.94,14.02
1781448585,15.94,14.19
1781448590,15.94,14.32
1781448595,15.94,14.32
1781448600,15.94,14.32
1781448605,15.94,14.02
1781448610,15.94,14.32
1781448615,15.94,14.32
1781448620,15.94,14.13
1781448625,16.00,14.14
1781448630,15.94,14.02
1781448635,15.92,14.14
1781448640,15.92,14.25
1781448645,15.92,14.14
1781448651,15.92,14.14
1781448656,15.92,14.14
1781448661,15.92,14.14
1781448666,15.92,14.14
1781448671,15.92,14.14
1781448676,15.92,14.14
1781448681,15.92,14.14
1781448686,15.92,14.14
1781448691,15.92,14.14
1781448696,15.92,14.14
1781448701,15.92,14.14
1781448706,15.93,14.02
1781448711,15.92,14.32
1781448716,15.95,14.02
1781448721,15.92,14.32
1781448726,15.92,14.25
1781448731,15.95,14.02
1781448736,15.92,14.32
1781448741,15.95,14.02
1781448746,15.92,14.32
1781448751,15.92,14.32
1781448756,15.92,14.02
1781448761,15.92,14.32
1781448766,15.92,14.14
1781448771,15.92,14.14
1781448776,15.92,14.14
1781448781,15.92,14.14
1781448786,15.92,14.14
1781448791,15.92,14.14
1781448796,15.92,14.14
1781448801,15.92,14.14
1781448806,15.92,14.14
1781448811,15.92,14.14
1781448816,15.92,14.14
1781448821,15.92,14.14
1781448826,15.92,14.14
1781448831,15.92,14.19
1781448837,15.92,14.19
1781448842,15.92,14.02
1781448847,15.92,14.14
1781448852,15.92,14.32
1781448857,15.92,14.25
1781448862,15.92,14.32
1781448867,15.92,14.02
1781448872,15.92,14.19
1781448877,15.92,14.32
1781448882,15.92,14.19
1781448887,15.95,14.14
1781448892,15.92,14.14
1781448897,15.92,14.14
1781448902,15.92,14.14
1781448907,15.92,14.14
1781448912,15.92,14.14
1781448917,15.92,14.14
1781448922,15.92,14.14
1781448927,15.92,14.14
1781448932,15.92,14.14
1781448937,15.92,14.14
1781448942,15.92,14.14
1781448947,15.92,14.14
1781448952,15.92,14.14
