generation,best_search_fitness,fitness_fn,best_calibration_kl,best_train_ppl,wikitext2_ppl,c4_ppl,fineweb_edu_ppl,eval_tokens_used,eval_tokens_by_dataset,num_offspring,num_survivors_stage_1,num_survivors_stage_2,num_survivors_stage_3,survivors_per_selection,tokens_per_selection,active_parameters,average_bitwidth_active,estimated_weight_memory_mb,dropped_attention_count,dropped_mlp_count,mutation_summary,accepted_parent_replacement,runtime_seconds_cumulative,peak_gpu_memory_mb
1,0.0064544677734375,kl,,5.33203125,5.9765625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,133.06385632790625,14280.6416015625
2,0.005435943603515625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,151.06187410838902,14280.6416015625
3,0.0054168701171875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,169.4961092825979,14280.6416015625
4,0.005413055419921875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,186.65802922844887,14280.6416015625
5,0.005260467529296875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,203.59154085442424,14280.6416015625
6,0.00525665283203125,kl,,5.33203125,5.9765625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,301.2324717063457,14280.6416015625
7,0.005260467529296875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,317.5869087073952,14280.6416015625
8,0.005260467529296875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,333.78911451250315,14280.6416015625
9,0.00505828857421875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,350.81469480134547,14280.6416015625
10,0.005054473876953125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,367.446232220158,14280.6416015625
11,0.005054473876953125,kl,,5.328125,5.94140625,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,463.8838023673743,14280.6416015625
12,0.00505828857421875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,480.27599880844355,14280.6416015625
13,0.0050506591796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,497.4219519030303,14280.6416015625
14,0.00505828857421875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,514.8324116058648,14280.6416015625
15,0.0050506591796875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",True,532.0760884117335,14280.6416015625
16,0.0050201416015625,kl,,5.33203125,5.9375,,,333824,"{""wikitext2"":333824}",16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,629.2700495831668,14280.6416015625
17,0.005016326904296875,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,646.6108684297651,14280.6416015625
18,0.005023956298828125,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,662.9402147009969,14280.6416015625
19,0.0050201416015625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,679.9210296589881,14280.6416015625
20,0.0050201416015625,kl,,,,,,0,{},16,8,2,1,"[8,2,1]","[512,2048,8192]",7248023552,3.0,12992.5078125,0,0,"{""type"":""quantization_level_switch"",""offspring_generated"":16,""step_size"":1,""group_rule"":""size""}",False,697.1680662501603,14280.6416015625
